ID,ТЕМА,ВОПРОС,АЛЬТЕРНАТИВА А,АЛЬТЕРНАТИВА B,АЛЬТЕРНАТИВА С
58,СТИХИЙНЫЕ БЕДСТВИЯ,Опасности паводков?,Никакой,Грипп,Лептоспироз
59,ДИФТЕРИЯ,Почему дифтерия так широко известна?,Вялый паралич ,Затяжной кашель,Круп
60,ДИФТЕРИЯ,"В общем, каков инкубационный период дифтерии?",5-15 дней,5 - 10 дней,1 - 6 дней
61,ДИФТЕРИЯ,Как долго носитель может избавляться от бациллы дифтерии?,1 год,3 или более месяцев,6 или более месяцев
62,ДИФТЕРИЯ,Какая прививка рекомендуется для предотвращения дифтерии у взрослых?,MMR,БЦЖ,Двойной взрослый
63,ДИФТЕРИЯ,Какое лечение является более эффективным при лечении дифтерии?,Антибиотикотерапия,Прививка,Противодифтерийная сыворотка
64,ДИФТЕРИЯ,Более эффективная профилактика дифтерии?,антибиотикотерапия,Использование презервативов,Вакцинация
65,БОЛЕЗНЬ ШАГАСА,Что является возбудителем болезни Шагаса?,Бактерия,Вирус,Простейшие
66,БОЛЕЗНЬ ШАГАСА,Какое насекомое передает болезнь Шагаса?,Осы,Комары ,Парикмахеры
67,БОЛЕЗНЬ ШАГАСА,Какая из этих форм не передает болезнь Шагаса?,Переливание крови,Загрязненные продукты питания,Контакт с людьми
68,БОЛЕЗНЬ ШАГАСА,Какой паразит при укусе может передавать болезнь Шагаса?,Все,Только у самок,Только зараженные
69,БОЛЕЗНЬ ШАГАСА,Что является основным симптомом острого заболевания Шагаса?,Боль в суставах,Кашель,Постоянный жар
70,БОЛЕЗНЬ ШАГАСА,Чем подтверждается диагноз болезни Шагаса?,Анализ мочи,Анализ кала,Анализ крови
71,БОЛЕЗНЬ ШАГАСА,"Болезнь Шагаса имеет специфическое лечение, которое представляет Единая Система Здравоохранения? ",Да. Бесплатно,Нет,"Да, но это платно"
72,БОЛЕЗНЬ ШАГАСА,Каким из эти способов можно предотвратить болезнь Шагаса?,Используйте противомоскитные сетки,Прибирать дворы,Убрать застоявшуюся воду 
73,БОЛЕЗНЬ ШАГАСА,"Если у человека держится жар более чем 7 дней, что делать?",Антибиотики,Принимая жаропонижающие,Искать Единую Систему Здравоохранения
74,ЗППП/СПИД,"Что делать после контакта с кровью или спермой, которые могут быть заражены ВИЧ?",Ничего,Принять ванну,Искать Единую Систему Здравоохранения
75,ЗППП/СПИД,"Дискриминировать человека, живущего с ВИЧ / СПИД является преступлением предусмотренным в законе Бразилии?",Нет,Зависит от причины,Да
76,ЗППП/СПИД,"Тот кто заражён ВИЧ должен быть очень болен, чтобы иметь право на лечение в Единой Системе Здравоохранения?",Да,Нет лечения,Каждый имеет право
77,ЗППП/СПИД,ВИЧ то же самое что и СПИД?,Да,ВИЧ является аббревиатурой от СПИДа,Нет
78,ЗППП/СПИД,Презерватив является единственным способом профилактики ВИЧ-инфекции?,Да,Нет. Только ВМС,Нет
79,ЗППП/СПИД,Зачем принимать лекарства для лечения ВИЧ?,Чтобы вылечить СПИД,Чтобы жить хуже,Чтобы жить лучше
80,ЗППП/СПИД,"Если я узнал, что у меня ВИЧ, когда я должен начать принимать лекарства?",Когда я плохо себя чувствую,Нет лекарств,Немедленно
81,ЗППП/СПИД,Нет вакцины или излечения от СПИДа?,Да,Только для женщин,Нет
82,ЗППП/СПИД, Тот у кого ВИЧ каждый день принимает много лекарств?,Да,Нет,Смотря какой случай
83,ЗППП/СПИД,"Это правда, что лекарства против ВИЧ вызывают побочные эффекты?",Нет. Это миф,Только у детей,Да
84,ЗППП/СПИД,Какие из них являются побочными эффектами лечения ВИЧ-инфекции?,Депрессия,Бред,Тошнота и рвота
85,ЗППП/СПИД,"ВПЧ - инфекция передаваемая половым путем, которую можно предотвратить с помощью вакцинации?",Только у детей,Нет,Да
86,ЗППП/СПИД,Какое из этих вариантов не является ЗППП?,Сифилис,ВПЧ,Лихорадка Денге
87,ЗППП/СПИД,"Как предотвратить все инфекций, передаваемые половым путем (ИППП)?",Половое воздержание,Верность,Использовать презерватив
88,ЗППП/СПИД,Безопаснее использовать два презерватива одновременно?,Да,"Да, максимально 3",Нет
89,ЭБОЛА,Что такое эбола?,Бактерия,Неправильное формирование плода,Вирус
90,СКОРПИОН,Какое ядовитое животное приводит к большинству несчастных случаев в Бразилии?,Змея,Паук,Скорпион
91,СКОРПИОН,В каких местах распространены скорпионы?,Бассейны и озёра,На деревьях,Мусорки и колодцы
92,СКОРПИОН,Основной клинический симптом в несчастных случаях со скорпионами?,Слезящиеся глаза,Опухоль,Сильная боль
93,СКОРПИОН,В каких случаях потерпевший должен получить противоядие от укуса скорпиона?,Во всех,Только в тяжелой,Средней и тяжелой
94,СКОРПИОН,"Что можно сделать, чтобы облегчить боль от укуса скорпиона?",Нажать на место,Отсасывание яда ,Юг 
95,ШИСТОСОМОЗ,Как передается шистосомоз?,При чихании,Контакт с землей,Контакт с улиткой
96,ШИСТОСОМОЗ,Как ставится диагноз шистосомоза?,Анализ мочи,Анализ крови,Анализ кала
97,ШИСТОСОМОЗ,Под каким названием также известен шистосомоз?,Пожелтение,Болезнь седьмого дня,Болезнь Мэнсона
98,ШИСТОСОМОЗ,Шистосомоз это заболевание:,Бактериальные,Вирусный,Паразитический
99,ШИСТОСОМОЗ,Возбудитель шистосомоза (а):,Человеческая аскарида,Хламидии трахоматис,Schistosoma mansoni
100,ЛАБОРАТОРНЫЕ АНАЛИЗЫ,"В случае обезвоживания, могут быть изменения в анализе крови?",Нет,Да,Да
101,ЛАБОРАТОРНЫЕ АНАЛИЗЫ,"При сдаче анализов, мы должны сообщать о приёме лекарств?",Нет,"Может быть, это важно",Да
102,ЛАБОРАТОРНЫЕ АНАЛИЗЫ,Где можно сдавать лабораторные анализы?,Только частная сеть,Только государственная сеть,В обоих
103,ЛАБОРАТОРНЫЕ АНАЛИЗЫ,"Что надо сделать, чтобы после забора крови не оставались синяки? ",Потрясти руку,Ждать когда пройдёт,Местный компресс
104,ЖЕЛТАЯ ЛИХОРАДКА,Желтая Лихорадка передается:,Укус летучей мыши,Загрязненные продукты питания,Укус комара
105,ЖЕЛТАЯ ЛИХОРАДКА,Лесная Жёлтая Лихорадка передаётся какими комарами?,Aedes,Малярийные комары,Комары Haemagogus
106,ЖЕЛТАЯ ЛИХОРАДКА,Какие из перечисленных ниже симптомов являются классическими при поражении Желтой Лихорадкой:,Боль в суставах,Головная боль,Пожелтение кожи
107,ЖЕЛТАЯ ЛИХОРАДКА,Какой из них не является способом предотвращения Жёлтой Лихорадки?,Прививка,Репеллент,Солнцезащитный крем
108,ЖЕЛТАЯ ЛИХОРАДКА,Какое из них не является рискованным мероприятием для Жёлтой Лихорадки?,Лагерь,Рыбалка,Ночная прогулка
109,ЖЕЛТАЯ ЛИХОРАДКА,Какое есть лечение Жёлтой Лихорадки?,Антибиотики,Противовоспалительные средства,Нет лечения
110,ЖЕЛТАЯ ЛИХОРАДКА,"Помимо Денге, Чикунгунье и Зике, какую другую болезнь может передать комар Aedes aegypti ?",Ньянга ньянга,Филяриоз,Жёлтая лихорадка
111,ЖЕЛТАЯ ЛИХОРАДКА,Какой из них не является одним из возможных циклов передачи Жёлтой Лихорадки?,Городской,Лесной,Водная среда
112,ЖЕЛТАЯ ЛИХОРАДКА,"Помимо человека, какое животное может заразиться Жёлтой Лихорадкой?",Птица,Собака,Обезьяна
113,ЖЕЛТАЯ ЛИХОРАДКА,Жёлтая Лихорадка вызывается (а),Бактерия,Простейшие,Вирус
114,ЖЕЛТАЯ ЛИХОРАДКА,На какое другое заболевание похожи симптомы Жёлтой Лихорадки?,Болезнь Шагаса,Лейшманиоз,Лихорадка Денге
115,ЖЕЛТАЯ ЛИХОРАДКА,Наиболее важной профилактической мерой против Жёлтой Лихорадки:,Вымойте лицо,Мыть руки,Вакцинация
116,ПЯТНИСТАЯ ЛИХОРАДКА,Каков вектор пятнистая лихорадки?,Комар,Капибара,Клещ
117,ПЯТНИСТАЯ ЛИХОРАДКА,"Какой из них является пристанищем клещей, важным с медицинской точки зрения, для пятнистой лихорадки?",Кобра,Барс,Капибара
118,ПЯТНИСТАЯ ЛИХОРАДКА,Благоприятная среда для пятнистой лихорадки?,Районы с мусором,Области с комарами,Зоны с клещами 
119,ПЯТНИСТАЯ ЛИХОРАДКА,Какие из них являются симптомами пятнистой лихорадки?,Диарея,Рвота,Жар
120,ПЯТНИСТАЯ ЛИХОРАДКА,"Если у вас появились симптомы пятнистой лихорадки, что вы должны сделать?",Переждать,Пить жидкость,Искать врача
121,ПЯТНИСТАЯ ЛИХОРАДКА,Какие профилактические меры пятнистой лихорадки вы можете провести в вашем доме?,Убрать застоявшуюся воду ,Мыть туалеты ,Прибирать дворы
122,ЛИМФАТИЧЕСКИЙ ФИЛЯРИОЗ,"Что собой представляет комар Culex, который передает лимфатический филяриоз?",Малярийные комары,Aedes aegypti,Настоящие комары quinquefasciatus
123,ЛИМФАТИЧЕСКИЙ ФИЛЯРИОЗ,Это осложнение лимфатического филяриоза:,Желудочно-кишечное кровотечение,Слепота,Элефантиаз
124,ЛИМФАТИЧЕСКИЙ ФИЛЯРИОЗ,Лимфатический филяриоз это инфекция?,Вирусный,Бактериальные,Паразитический
125,БОЛЕЗНЬ ХАНСЕНА (ЛЕПРА),Что такое болезнь Хансена (Лепра)?,Вирус,Простейшее,Болезнь
126,БОЛЕЗНЬ ХАНСЕНА (ЛЕПРА),"Пациенту болеющему лепрой необходимо использовать отдельные стаканы, чашки, столовые приборы и посуду?",Да,Только тарелки,Нет
127,БОЛЕЗНЬ ХАНСЕНА (ЛЕПРА),Как можно заболеть лепрой,Рукопожатие,Половые отношения,Контакт с болеющим
128,ГРИПП,Наиболее важный симптом гриппа?,Рвота,Мышечные боли,Сильный жар
129,ГРИПП,Какое заболевание часто путают с гриппом?,Гайморит,Эзофагита,простуда
130,ГРИПП,Частое мытье и гигиена рук может предотвратить грипп?,Нет,Сразу после еды,Да
131,ГРИПП,"Избегать близкого контакта с людьми у которых явные признаки или симптомы гриппа, поможет не заразиться?",Нет,От 1 м,Да
132,ГРИПП,"Прикрывать нос и рот при чихании или кашле, уменьшает заражение  гриппом?",Нет ,Только закрывать рот ,Да
133,ГРИПП,Б Бразилии есть прививка против гриппа?,Нет,Только для H1N1,Да
134,ГРИПП,Беременные женщины могут сделать прививку от гриппа?,Нет,"Да, после 3 месяцев",Да
135,ГРИПП,Грипп в Бразилии может циркулировать в течение всего года?,Только в на юго востоке,Нет,Да
136,ГРИПП,Заключенные могут сделать прививку против гриппа?,Нет,> 5 лет лишения свободы,Да
137,ГРИПП,"Носители неинфекционных хронических заболеваний, могут сделать прививку от гриппа?",Нет,Только сердечно-сосудистые заболевания,Да
138,ГУСЕНИЦА,"Как называется гусеница в Бразилии, заражение от которой вызывает кровотечение?",Automeris,Павлиноглазка,Гусеница  Lonomia
139,ГУСЕНИЦА,Как можно отравиться гусеницей?,Через укус,Прокушенная кожа,Контакт с щетинками
140,ГУСЕНИЦА,Какое из этих мероприятий приведет к повышению рисков столкновения с гусеницей рода Lonomia?,Лежать на траве,Бегать по траве,Лазить по деревьям
141,ПОДКОЖНЫЙ ЛЕЙШМАНИОЗ,Что такое подкожный лейшманиоз?,Редкое заболевание,Хроническая болезнь,Инфекционные заболевания
142,ПОДКОЖНЫЙ ЛЕЙШМАНИОЗ,Как охарактеризовать типичную язву подкожного лейшманиоза?,Болезненные,Болезненно на коже,Безболезненно
143,ПОДКОЖНЫЙ ЛЕЙШМАНИОЗ,Что подтверждается диагноз подкожного лейшманиоза?,Серология,Клинический,Паразитологическое
144,ПОДКОЖНЫЙ ЛЕЙШМАНИОЗ,"В каких зонах, как правило, может произойти заражение подкожным лейшманиозом?",Урбанизирована,Прибрежные,Лесной и сельский
145,ПОДКОЖНЫЙ ЛЕЙШМАНИОЗ,Какой из этих насекомых передаёт подкожный лейшманиоз?,Aedes aegypti,Парикмахеры,Комар Маруйн
146,ПОДКОЖНЫЙ ЛЕЙШМАНИОЗ,Где развивается вектор подкожного лейшманиоза?,Стоячая вода,Затопленные деревянные дома,Влажные места
147,ПОДКОЖНЫЙ ЛЕЙШМАНИОЗ,Какой из них не является способом профилактики подкожного лейшманиоза?,Поддерживать чистоту во дворе,Использовать репелленты ,Убрать застоявшуюся воду 
148,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Под каким именем широко известен висцеральный лейшманиоз?,Сюрприз с Востока,Кожные мигрирующая личинка,Язва
149,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,В каком регионе Бразилии наибольшее количество случаев висцерального лейшманиоза?,Южный регион,Северный регион,Северный регион
150,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,"Если не лечить висцеральный лейшманиоз, это может привести к смерти?",Нет,Только в пожилом возрасте,Да
151,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Какой из них является симптомом висцерального лейшманиоза?,Слепота,Обезвоживание,Жар
152,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Есть ли лечение висцерального лейшманиоза?,Нет,Только частная сеть,"Да, в Единой Системе Здравоохранения"
153,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,"Какой анализ можно сделать в Единой Системе Здравоохранения, для диагностики висцерального лейшманиоза?",Анализ крови,Ультразвуковое исследование,Быстрый тест
154,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Что является основным резервуаром лейшманиоза в городских районах?,Курица,Человек,Собака
155,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Основная форма передачи висцерального лейшманиоза среди собак?,Укус,Контакт с мочой,Укусы насекомых
156,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Какой из них является одним из основных клинических признаков висцерального лейшманиоза у собак?,Агрессия,Пожелтение кожи,Поражения кожи
157,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,Какое из этих насекомых передает висцеральный лейшманиоз людям?,Aedes aegypti,Парикмахеры,Комар Маруйн
158,ВИСЦЕРАЛЬНЫЙ ЛЕЙШМАНИОЗ,"Где развивается насекомое, которое передает висцеральный лейшманиоз?",Стоячая вода,Затопленные деревянные дома,Влажные места
159,МАЛЯРИЯ,В этом регионе Бразилии сосредоточено более 99% случаев малярии?,Юго-Восток,Северо-Восток,Север
160,МАЛЯРИЯ,Так передаётся малярия?,Через воду,Через продукты питания,Укус комара
161,МАЛЯРИЯ,"В каком из этих мест находятся личинки комаров, которые являются переносчиками малярии?",Резервуары для воды,В колодцах,В озёрах
162,МАЛЯРИЯ,"Какой из этих путей является правильным, для того, чтобы защитить себя от малярийного комара?",Принимая витамины,Сделать прививку,Используйте противомоскитные сетки
163,МАЛЯРИЯ,Какой комар передает малярию?,Самка  Aedes,Самец Anopheles,Самка Anopheles
164,МАЛЯРИЯ,Какие из них являются симптомами тяжелой малярии:,Изнеможение,Кровотечения,Сильный жар >41°C
165,МАЛЯРИЯ,Наиболее подходящие средства для прерывания цикла передачи малярии?,Чай и постельный режим,Это невозможно,Своевременный диагноз
166,МАЛЯРИЯ,Самый распространённый симптомом малярии?,Одышка,Пятна на коже,Сильный жар
167,МАЛЯРИЯ,Существуют лекарства для профилактики малярии?,Нет,Только импортные,Да
168,МАЛЯРИЯ,Кто может заразиться малярией?,Только мужчины,Только дети,Любой человек
169,МАЛЯРИЯ,Каковы наиболее распространенные признаки и симптомы малярии?,Пятна на коже,Боли в суставах,Жар
170,МАЛЯРИЯ,Могу ли я заразиться малярией более чем один раз?,Нет,"Да, дважды",Да
171,МАЛЯРИЯ,Существует ли вакцина от малярии?,Да,Только для взрослых,Нет
172,МАЛЯРИЯ,Как поставить диагноз малярии?,Через слюну,Ликёр,Через кровь
173,МАЛЯРИЯ,Существует ли тяжёлая форма малярии?,Нет,Всегда тяжёлая форма,Да
174,МАЛЯРИЯ,Где находится эндемичная малярия в Бразилии?,Юго-Восток,Северо-Восток,Север
175,МАЛЯРИЯ,Что вызывает малярию?,Вирус,Бактерия,Плазмодий
176,МАЛЯРИЯ,Могу ли я заразиться малярией от другого человека?,"Да, охватывая","Да, через поцелуй",Нет
177,МАЛЯРИЯ,Где я могу сдать анализы на малярию?,Аптека,Сосед,Единая Система Здравоохранения
178,МАЛЯРИЯ,Где лечат малярия?,В аптеке,У соседа,В Единой Системе Здравоохранения
179,МАЛЯРИЯ,Сколько стоит лечение малярии?,300 реалов,50 реалов,Бесплатно в Единой Системе Здравоохранения
180,МАЛЯРИЯ,Существует малярия в Бразилии?,"Нет, только в Азии","Нет, только в Африке",Да
181,МАЛЯРИЯ,На каком из этих континентов есть случаи малярии?,Америка и Океания,Азия и Океания,Америка и Африка
182,МАЛЯРИЯ,Как избежать заражения малярией?,Укус комара,Переливание крови,Загрязнённая вода
183,МАЛЯРИЯ,Единое ли лечение для наиболее распространенных видов малярии в Бразилии (трехдневная и фальципарум)?,Да,Нет лечения,Нет
184,МАЛЯРИЯ,Жар - симптом малярии?,Нет,Только невысокая температура,Да
185,МАЛЯРИЯ,"Комар, передающий денге, также передает малярию?",Да,Все болезни,Нет
186,МАЛЯРИЯ,"В этом органе размножается паразит малярии, прежде чем атаковать красные клетки крови?",Кожа,Селезенка,Печень
187,МАЛЯРИЯ,"Наиболее благоприятный сезон для укуса комара, который передает малярию?",В течение дня,Когда идет дождь,"Утром, днем и вечером"
188,МАЛЯРИЯ,Малярия может убить?,Только оставляет осложнения,Нет,Да
189,МАЛЯРИЯ,Беременные женщины с малярией могут нормально принимать лекарства?,Да,Смотря какой случай,Нет
190,МАЛЯРИЯ,Могу ли я вылечить малярию чаями и растениями?,Да,Только чаем,Нет
191,МАЛЯРИЯ,Должен ли я избегать употреблять какие-либо продукты питания из-за лекарств от малярии?,Острая пища,Жирная пища,Нет
192,МАЛЯРИЯ,Кто является носителями паразита малярии в его жизненном цикле?,Только человека,Никакой,Комар и человек
193,МАЛЯРИЯ,Какой процент населения мира находится под угрозой малярии?,0%,10%,50%
194,МАЛЯРИЯ,"Как быстро, после укуса зараженного комара, человек начинает испытывать симптомы малярии?",1 - 3 дня,30 дней,10 - 15 дней
195,МАЛЯРИЯ,Любой комар является переносчиком малярии?,Да,"Нет, только Aedes","Нет, только Anopheles"
196,МАЛЯРИЯ,Так передаётся малярия?,Через обнимание,Через поцелуй,Укус комара
197,МАЛЯРИЯ,Что можно сделать для профилактики малярии?,Есть фрукты,Пить чай,Избегать комаров
198,МАЛЯРИЯ,Малярия излечима?,В некоторых случаях,Нет,Да
199,МАЛЯРИЯ,Где я могу сделать прививку от малярии?,В частной больнице,Аптеки,Нет прививки
200,МАЛЯРИЯ,Существует специальный репеллент для борьбы с малярийным комаром?,Да,"Да, импортные",Нет
201,МАЛЯРИЯ,Малярийный комар размножается как комар денге?,Да,Не размножается,Нет
