المعرّف,الموضوع,أسئلة,البديل أ,البديل ب,البديل ج
89,الإيبولا,ماذا يقصد بالإيبولا؟,البكتيريا,عيوب خلقية,فيروس
90,العقرب,ما الحيوان السام المسؤول عن التسبب في العدد الأكبر من الحوادث في البرازيل؟,الأفاعي,العناكب,العقارب
91,العقرب,أين توجد العقارب بشكل شائع؟,حمامات السباحة والبحيرات,الأشجار,صناديق القمامة وفتحات المجاري
92,العقرب,ما العرَض الطبي الرئيسي المصاحب للحوادث التي يتسبب بها العقارب؟,عيون كثيرة الدموع,التورم,ألم موجع
93,العقرب,في أي حالات يجب أن يحصل ضحايا العقارب على المصل المضاد للدغات العقارب؟,جميع الحالات,الحالات الحرجة فقط,الحالات المتوسطة والشديدة
94,العقرب,ما الذي يمكن فعله للمساعدة على تخفيف الألم الناجم عن لدغة العقرب؟,الضغط على البثرة,مص السم ,الضغط الدافئ
95,داء البلهارسيا,كيف ينتقل داء البلهارسيا؟,العطس,ملامسة الأرض,الملامسة بأظافر اليدين
96,داء البلهارسيا,كيف يتم تشخيص داء البلهارسيا؟,فحص البول,فحص الدم,فحص البراز
97,داء البلهارسيا,ما الاسم الشائع الذي تُعرف به البلهارسيا كذلك؟,مرض الديدان الشصية,مرض يمتد إلى سبعة أيام,حمى الحلزون
98,داء البلهارسيا,البهارسيا هي مرض _____.,بكتيري,فيروسي,طفيلي
99,داء البلهارسيا,العامل الذي يؤثر في البلهارسيا هو:,الصفر الخراطيني,المتدثرة الحثرية,البلهارسيا المنسونية
100,الفحوصات المختبرية,هل يمكن أن يؤدي الجفاف إلى حدوث تغيرات في فحوصات الدم؟,لا,نعم,نعم
101,الفحوصات المختبرية,هل يجب على المرضى عادة الإخطار باستخدام لدواء قبل إجراء الفحوصات المختبرية؟,لا,قد يكون الأمر مهمًا,نعم
102,الفحوصات المختبرية,أين يمكنني إجراء الفحوصات المختبرية؟,فقد في نظام الرعاية الصحية الخاص,فقط في نظام الرعاية الصحية العام,في كل من النظامين
103,الفحوصات المختبرية,ما الذي يمكنني فعله للوقاية من الإصابة بالبقع ذات اللون الأرجواني بعد سحب الدم؟ ,المصافحة بالأذرع,الانتظار حتى يختفي,استخدام الضغط على البقعة
104,الحمى الصفراء,تنتقل الحمى الصفراء بواسطة:,عضات الخفافيش,طعام ملوث,لدغة البعوضة
105,الحمى الصفراء,ما أنواع البعوض التي تنقل الحمى الصفراء الحرجية؟,البعوضة الزاعجة,بعوضة الأنوفيليس,المدمومة
106,الحمى الصفراء,أي مما يلي تعد من أعراض الحمى الصفراء الكلاسيكية؟,آلام المفاصل,صداع,جلد يميل إلى الصفرة
107,الحمى الصفراء,ماذا لو كان مما يلي لا يعد إجراءً وقائيًا للحمى الصفراء؟,لقاح,مبيد حشري,حاجبة الأشعة الشمسية
108,الحمى الصفراء,ماذا لو كان مما يلي لا يعد من أنشطة الخطر للحمى الصفراء؟,تخييم,صيد الأسماك,التنزه الليلي
109,الحمى الصفراء,ما العلاج المتوفر للحمى الصفراء؟,مضادات حيوية,مضاد الالتهابات,لا يوجد علاج
110,الحمى الصفراء,بالإضافة إلى حمى الضنك وحمى الزيكا وحمى شيكونغونيا، ما الأمراض الأخرى التي يمكن أن ينقلها البعوض الزاعج المصري؟,فيروس O’nyong’nyong,داء الخيطيات,الحمى الصفراء
111,الحمى الصفراء,أي مما يلي لا يمثل واحدة من دورات انتقال الحمى الصفراء المحتملة؟,المناطق الحضرية,حرجي,مائي
112,الحمى الصفراء,ما الذي الحيوانات الأخرى التي تحمل مرض الحمى الصفراء، بالإضافة إلى البشر؟,الطيور,الكلاب,القرود
113,الحمى الصفراء,تنجم الحمى الصفراء عن,البكتيريا,حيوانات وحيدة الخلية,فيروس
114,الحمى الصفراء,ما المرض الذي تتشابه أعراضه مع الحمى الصفراء؟,داء الشاغاس,داء الليشمانيا,حمى الضنك
115,الحمى الصفراء,يتمثل الإجراء الوقائي الأهم للحمى الصفراء في:,غسل الوجه,غسل اليدين,التطعيم
116,حمى الجبال الصخرية المبقعة,ما ناقل حمى الجبال الصخرية المبقعة؟,البعوضة,خنزير الماء,القراد
117,حمى الجبال الصخرية المبقعة,أي مما يلي يعد مضيفًا للقراد ذي الأهمية السريرية لحمى الجبال الصخرية المبقعة؟,الأفعى,أسد الجبال,خنزير الماء
118,حمى الجبال الصخرية المبقعة,ما البيئات المعدية لحمى الجبال الصخرية المبقعة؟,مناطق كب القمامة,المناطق التي بها بعوض,المناطق التي تعيش بها القراد
119,حمى الجبال الصخرية المبقعة,أي مما يلي يعد من أعراض حمى الجبال الصخرية المبقعة؟,الإسهال,التقيؤ,الحمى
120,حمى الجبال الصخرية المبقعة,ما الذي ينبغي علي فعله في حالة ظهور أعراض حمى الجبال الصخرية المبقعة؟,الانتظار حتى نهاية الأمر,شرب السوائل,البحث عن مساعدة طبية
121,حمى الجبال الصخرية المبقعة,ما الإجراءات الوقائية التي يمكن استخدامها لمواجهة حمى الجبال الصخرية المبقعة في المنزل؟,القضاء على جميع مصادر المياه الجارية,تنظيف دورات المياه,الحفاظ على نظافة الساحة
122,داء الخيطيات اللنفاوي,أي نوع من بعوض الكيولكس ينقل داء الخيطيات اللنفاوي؟,بعوضة الأنوفيليس,الزاعجة المصرية,البعوضة خماسية الخطوط
123,داء الخيطيات اللنفاوي,تتمثل أحد تعقيدات داء الخيطيات اللنفاوي في:,نزف الجهاز الهضمي,العمى,داء الفيل
124,داء الخيطيات اللنفاوي,هل يعد داء الخيطيات اللنفاوي عدوى ________؟,فيروسي,بكتيري,طفيلي
125,الجذام,ماذا يقصد بالجذام؟,فيروس,حيوانات وحيدة الخلية,مرض
126,الجذام,هل يجب على الأشخاص المصابين بالجذام استخدام كؤوس شرب وأدوات مائدة وأواني منفصلة؟,نعم,الأطباق فقط,لا
127,الجذام,كيف ينتقل الجذام؟,المصافحة بالأيدي,الاتصال الجنسي,ملامسة الأفراد المصابين
128,الأنفلونزا,ما العرض الأكثر ملاحظة في الأنفلونزا؟,التقيؤ,ألم في العضلات,ارتفاع في حرارة الجسم
129,الأنفلونزا,ما المرض الذي يعتقد عل نحو شائع بالخطأ أنه الأنفلونزا؟,التهاب الجيوب,التهاب المريء,البرد
130,الأنفلونزا,هل غسل اليدين وتعقيمهما بشكل متكرر يقي من الإصابة بالأنفلونزا؟,لا,بعد الوجبات فقط,نعم
131,الأنفلونزا,هل يساعد ذلك على تفادي التلامس المباشر مع الأشخاص الذين تظهر عليهم علامات الأنفلونزا أو أعراضها؟,لا,فقط في المسافات التي لا تقل عن 1 م,نعم
132,الأنفلونزا,هل تؤدي تغطية الأنف والفم عند العطس أو السعال إلى تقليل فرصة انتقال الأنفلونزا؟,لا ,تغطية الفم فقط,نعم
133,الأنفلونزا,هل تمتلك البرازيل لقاحًا للأنفلونزا؟,لا,فقط لعلاج فيروس الأنفلونزا H1N1,نعم
134,الأنفلونزا,هل يجوز للنساء الحوامل تناول لقاحات الأنفلونزا؟,لا,نعم، بعد  الشهر الثالث,نعم
135,الأنفلونزا,هل من الممكن تفشي الأنفلونزا على مدار العام في البرازيل؟,فقط في المنطقة الجنوبية الشرقية,لا,نعم
136,الأنفلونزا,هل يتلقى السجناء لقاحات الأنفلونزا؟,لا,أكثر من 5 سنوات من الحبس,نعم
137,الأنفلونزا,هل يجوز للمرضى المصابين بأمراض مزمنة غير معدية تناول لقاحات الأنفلونزا؟,لا,مرضى القلب فقط,نعم
138,اليرقة,ما اسم اليرقة الموجودة في البرازيل التي يمكن أن تتسبب في الإصابة بنزف الدم؟,العتمريس,فراشة الهيليجا,اللونوميا
139,اليرقة,كيف يحدث التسمم من اليرقة؟,لدغة,لدغة,ملامسة الشعيرات
140,اليرقة,أي من الأنشطة التالية يترتب عليها ارتفاع في مخاطر وقوع الحوادث التي تسببها يرقات من جنس اللونوميا؟,الاستلقاء على العشب,الركض على العشب,تسلق الأشجار
141,داء الليشمانيا الغلافي,ماذا يقصد داء الليشمانيات الغلافي؟,مرض نادر,مرض مزمن,مرض معدي
142,داء الليشمانيا الغلافي,ما السمة الرئيسية لقرحة داء الليشمانيات الغلافي الجلدية العادية؟,مؤلم,ألم في الجلد,قرحة جلدية غير مؤلمة
143,داء الليشمانيا الغلافي,ما التشخيص التأكيدي لداء الليشمانيات الغلافي؟,مصل الدم,سريري,من الوجهة الطفيلية
144,داء الليشمانيا الغلافي,في أي مناطق يتنقل عادة داء الليشمانيات الغلافي؟,المناطق الحضرية,المناطق الساحلية,حرجي والمناطق الريفية
145,داء الليشمانيا الغلافي,أي من هذه الحشرات ينقل داء الليشمانيات الغلافي؟,الزاعجة المصرية,القراد,ذباب الرمال
146,داء الليشمانيا الغلافي,أين يتطور ناقل داء الليشمانيات الغلافي؟,المياه الجارية,منازل بأسقف من الأغصان,البيئات الرطبة
147,داء الليشمانيا الغلافي,أي مما يلي لا يعد إجراءًا وقائيًا لداء الليشمانيات؟,الحفاظ على نظافة الساحة,استخدام المبيدات الحشرية,القضاء على جميع مصادر المياه الجارية
148,داء الليشمانيات الحشوي,كيف يعرف داء الليشمانيات الحشوي بشكل شائع؟,الحبة الشرقية,مرض الطفح الزاحف,كالازار الداء الأسود
149,داء الليشمانيات الحشوي,ما المنطقة البرازيلية حالات إصابة أكثر بداء الليشمانيات الحشوي؟,المنطقة الجنوبية,المنطقة الشرقية,المنطقة الشمالية الشرقية
150,داء الليشمانيات الحشوي,هل يمكن أن يؤدي داء الليشمانيات الحشوي غير المعالج إلى وفاة المريض؟,لا,في كبار السن فقط,نعم
151,داء الليشمانيات الحشوي,أي مما يلي يعد من أعراض داء الليشمانيات الحشوي؟,العمى,الجفاف,الحمى
152,داء الليشمانيات الحشوي,هل يوجد علاج متوفر لداء الليشمانيات الحشوي؟,لا,فقد في نظام الرعاية الصحية الخاص,نعم، في نظام SUS
153,داء الليشمانيات الحشوي,أي فحص متوفر في نظام SUS لتشخيص داء الليشمانيات الحشوي؟,فحص الدم,تخطيط فوق صوتي,فحص سريع
154,داء الليشمانيات الحشوي,ما المضيف الأساسي لداء الليشمانيات الحشوي في المناطق الحضرية؟,الدجاج,الكائنات البشرية,الكلاب
155,داء الليشمانيات الحشوي,ما الصورة الأساسية لانتقال داء الليشمانيات الحشوي بين الكلاب؟,لدغات,ملامسة البول,لدغات الحشرات
156,داء الليشمانيات الحشوي,أي مما يلي يعد واحدة من العلامات السريرية الرئيسية الدالة على داء الليشمانيات الحشوي في الكلاب؟,سلوك عدائي,جلد يميل إلى الصفرة,الآفات الجلدية
157,داء الليشمانيات الحشوي,أي من هذه الحشرات ينقل داء الليشمانيات الحشوي إلى الإنسان؟,الزاعجة المصرية,القراد,ذباب الرمال
158,داء الليشمانيات الحشوي,أين تتطور الحشرة الناقلة لداء الليشمانيات الحشوي؟,المياه الجارية,منازل بأسقف من الأغصان,البيئات الرطبة
159,الملاريا,في أي منطقة برازيلية يتركز ما يزيد عن 99% من جميع الحالات المصابة بالملاريا؟,الجنوب الشرقي,الشمال الشرقي,الشمال
160,الملاريا,كيف تنتقل الملاريا؟,باستخدام المياه,عن طريق الطعام,لدغة البعوضة
161,الملاريا,في أي من هذه الأماكن توجد يرقة البعوضة التي تنقل الملاريا؟,خزانات المياه,فتحات المجاري,البحيرات
162,الملاريا,أي مما يلي يعد الطريقة الأمثل للوقاية من بعوضة الملاريا؟,تناول الفيتامينات,أخذ اللقاحات,استخدام الناموسيات
163,الملاريا,ما البعوضة التي تنقل الملاريا؟,أنثى البعوض الزاعج,ذكر بعوضة الأنوفيليس,أنثى بعوضة الأنوفيليس
164,الملاريا,أي مما يلي يعد من أعراض الملاريا الحادة؟,إعياء,نزف,ارتفاع في حرارة الجسم أكبر من 41 درجة مئوية
165,الملاريا,ما الوسائل المثلى لإيقاف دورة انتقال الملاريا؟,تناول الشاي والاسترخاء,يستحيل إيقاف الدورة,تشخيص في الوقت المناسب
166,الملاريا,ما العرض الأكثر شيوعًا للملاريا؟,ضيق النفس,بقع جلدية,ارتفاع في حرارة الجسم
167,الملاريا,هل من الممكن تناول دواء للوقاية من الملاريا؟,لا,الداء المستورد فقط,نعم
168,الملاريا,من يكون عرضة للإصابة بالملاريا؟,للرجال فقط,الأطفال فقط,أي أحد
169,الملاريا,ما العلامات والأعراض الأكثر شيوعًا للملاريا؟,بقع جلدية,ألم في المفاصل,الحمى
170,الملاريا,هل يجوز أن أصاب بالملاريا أكثر من مرة واحدة؟,لا,نعم، مرتان,نعم
171,الملاريا,هل يوجد لقاح للملاريا؟,نعم,في الأفراد البالغين فقط,لا
172,الملاريا,كيف يتم تشخيص الملاريا؟,عن طريق اللعاب,الأمر خطير دائمًا,عن طريق الدم
173,الملاريا,هل تمثل الملاريا مشكلة خطيرة؟,لا,إنها دائمًا خطيرة,نعم
174,الملاريا,أين تقع المنطقة الموبوءة بالملاريا في البرازيل؟,الجنوب الشرقي,الشمال الشرقي,الشمال
175,الملاريا,ما الذي يسبب الملاريا؟,فيروس,البكتيريا,البلازموديوم
176,الملاريا,هل يجوز أن أصاب بالملاريا من شخص ما مصاب بها؟,نعم، عن طريق احتضان الآخرين,نعم، بالتقبيل,لا
