ID,主題,問題,備選 A,備選 B,備選  C
62,白喉,建議用哪種疫苗防止成人白喉？,三價病毒疫苗,卡介苗,成人雙接種
63,白喉,哪些治療措施可以最有效地治療白喉？,抗生素治療,疫苗,白喉抗毒素
64,白喉,這是最有效的白喉預防措施？,抗生素治療,使用避孕套,疫苗接種
65,恰加斯病,哪種介质導致恰加斯病？,細菌,一種病毒,原生動物
66,恰加斯病,哪些昆蟲傳播恰加斯病？,黃蜂,蚊子 ,蜱蟲
67,恰加斯病,下列哪一項不會傳播恰加斯病？,輸血,受污染的食物,與他人接觸
68,恰加斯病,哪些親吻蟲可以通過它們的叮咬傳輸恰加斯病？,所有這些,僅雌性,僅被感染的人
69,恰加斯病,急性期的恰加斯病的主要症狀是什麼？,關節疼痛,咳嗽,持續高燒
70,恰加斯病,恰加斯病的驗證性診斷是如何獲得的？,尿液檢驗,粪检,血液檢驗
71,恰加斯病,SUS 不提供任何具體的恰加斯病治療方案嗎？ ,是。免費,否,是的，但它是一個付費服務
72,恰加斯病,下列哪一項不是恰加斯病的預防措施？,使用蚊帳,保持院子清潔,消除所有靜水來源
73,恰加斯病,發熱超過 7 天的人怎么辦？,服用抗生素,服用退热藥,尋求 SUS 的援助
74,性病/愛滋病,接觸可能沾染愛滋病毒的血液或精液後，您應該做什麼？,什麼都沒有,個澡,尋求 SUS 的援助
75,性病/愛滋病,在巴西歧視愛滋病毒/愛滋病患者是犯罪嗎？,否,它取決于原因,是
76,性病/愛滋病,愛滋病毒攜帶者必須真的生病才可以獲得 SUS 治療嗎？,是,尚無治療方法,人人有權接受治療
77,性病/愛滋病,愛滋病毒和愛滋病一樣嗎？,是,HIV 是愛滋病的縮寫,否
78,性病/愛滋病,避孕套是預防愛滋病毒感染的唯一方法嗎？,是,編號。僅 IUDS,否
79,性病/愛滋病,為什麼患者應該服用愛滋病藥物？,治癒愛滋病,更糟的生活,生活得更好
80,性病/愛滋病,在我知道自己感染愛滋病毒後，應該何時開始服藥？,當我感覺不好時,無藥物,立即
81,性病/愛滋病,是否有治癒愛滋病的疫苗或藥物？,是,僅女性,否
82,性病/愛滋病, 感染愛滋病毒的人每天必須服用大量藥物嗎？,是,否,這取決於具體的病例
83,性病/愛滋病,愛滋病毒藥物有副作用是真的嗎？,號碼。這是一個神話。,僅兒童,是
84,性病/愛滋病,下列哪一項是愛滋病毒藥物的副作用？,抑鬱症,譫妄,噁心和嘔吐
85,性病/愛滋病,人乳頭瘤病毒是疫苗可以預防的性傳播疾病嗎？,僅兒童,否,是
86,性病/愛滋病,下列哪一項不是性傳播疾病？,梅毒,HPV,登革熱
87,性病/愛滋病,我們怎樣才能防止所有性傳播疾病 （性病）？,禁欲,一夫一妻制,使用避孕套
88,性病/愛滋病,同時帶兩個安全套更安全嗎？,是,是，最多用 3 個,否
89,埃博拉病毒,埃博拉病毒是什麼？,細菌,出生缺陷,一種病毒
90,蠍子,哪種有毒動物引起的巴西大部分傷害？,蛇,蜘蛛,蠍子
91,蠍子,通常在哪里可以見到蠍子？,游泳池和湖泊,樹木,垃圾桶和人孔
92,蠍子,涉及蠍子傷害的主要臨床症狀是什麼？,水汪汪的眼睛,腫脹,劇烈疼痛
93,蠍子,在哪些情況下蠍子受害者必須接受反蠍子血清？,所有情況,僅在嚴重的情況下,中度和重度病例
94,蠍子,做什麼可以幫助減輕蠍子螫刺的痛苦？,擠壓班點,吸毒液 ,热敷 
95,血吸蟲病,血吸蟲病如何傳播？,打噴嚏,與地面接觸,接觸蝸牛
96,血吸蟲病,血吸蟲病如何診斷？,尿液檢驗,血液檢驗,粪检
97,血吸蟲病,血吸蟲病俗稱什麼？,鉤蟲病,七天病,蝸牛熱
98,血吸蟲病,血吸蟲病是 ___ 疾病。,細菌,病毒,寄生
99,血吸蟲病,導致血吸蟲病的中介是 ︰,蛔蟲,沙眼衣原体,曼氏血吸蟲
100,實驗室檢驗,脫水會導致血液檢驗變化嗎？,否,是,是
101,實驗室檢驗,病人必須在實驗室檢驗前告知服用過藥物嗎？,否,它可能重要,是
102,實驗室檢驗,我在哪裡可以做實驗室檢驗？,僅在私人的醫療保健系統中,僅在公共醫療體系中,在這兩個系統中
103,實驗室檢驗,在我的胳膊抽血後做什麼可以防止紫色斑點？ ,搖手臂,等待，直到它消失,在斑點上敷
104,黃熱病,黃熱病的傳播中介是 ︰,蝙蝠咬傷,受污染的食物,蚊蟲叮咬
105,黃熱病,哪種蚊子會傳播丛林黄热病黃熱病？,伊蚊,疟蚊,趋血蚊属
106,黃熱病,經典的黃熱病症狀是下列哪一項？,關節疼痛,頭痛,黃皮膚
107,黃熱病,下列哪一項不是黃熱病預防措施？,疫苗,殺蟲劑,防曬霜
108,黃熱病,下列哪一項不是黃熱病風險活動？,露營,捕魚,晚上散步
109,黃熱病,黃熱病治療方法是什麼？,抗生素,消炎藥,尚無治療方法
110,黃熱病,除了登革熱、寨卡、基孔肯亞病，這種埃及伊蚊還可以傳輸哪些其他疾病？,O'nyong'nyong,絲蟲病,黃熱病
111,黃熱病,下列哪一項不代表潛在的黃熱病傳播週期之一？,城市,森林,水生
112,黃熱病,除了人類之外，其他什麼動物可以攜帶黃熱病？,鳥類,狗,猴子
113,黃熱病,黃熱病的致病源是,細菌,原生動物,一種病毒
114,黃熱病,哪些疾病與黃熱病有相似症狀？,恰加斯病,利什曼病,登革熱
115,黃熱病,最重要的黃熱病預防措施是 ︰,洗臉,洗手,疫苗接種
116,落磯山斑點熱,落磯山斑點熱的介質是什麼？,蚊子,水豚,蜱蟲
117,落磯山斑點熱,下列哪一項是落磯山斑點熱的臨床相關性蜱宿主？,蛇,美洲獅,水豚
118,落磯山斑點熱,落磯山斑點熱的傳染環境是什麼？,垃圾存放區,蚊子地區,蜱蟲的地區
119,落磯山斑點熱,下列哪一項是落磯山斑點熱的症狀？,腹瀉,嘔吐,發燒
120,落磯山斑點熱,如果您遇到落磯山斑點熱症狀，應該做什麼？,等待,飲用液體,尋求醫療援助
121,落磯山斑點熱,在家可以使用的落磯山斑點熱預防措施？,消除所有靜水來源,打掃廁所,保持院子清潔
122,淋巴絲蟲病,哪種淡色庫蚊會傳播淋巴絲蟲病？,疟蚊,埃及伊蚊,致倦庫蚊
123,淋巴絲蟲病,淋巴絲蟲病的併發症之一是 ︰,消化道出血,失明,象皮腫
124,淋巴絲蟲病,淋巴絲蟲病是 ___ 感染嗎？,病毒,細菌,寄生
125,麻瘋病,麻瘋病是什麼？,一種病毒,原生動物,疾病
126,麻瘋病,麻瘋病患者必須使用單獨的飲水杯、餐具和器皿嗎？,是,僅菜食,否
127,麻瘋病,麻瘋病是如何傳播的？,握手,性交,與受感染者接觸
128,流行性感冒,流行性感冒最重要的症狀是什麼？,嘔吐,肌肉疼痛,高燒
129,流行性感冒,哪種疾病通常被誤認為是流感？,鼻竇炎,食管炎,感冒
130,流行性感冒,勤洗手和消毒手會防止流感感染嗎？,否,僅飯後,是
131,流行性感冒,避免近距離接觸顯示流感症狀或體征的人是否有幫助？,否,僅在至少 1 米的距離,是
132,流行性感冒,當打噴嚏或咳嗽時，蓋住鼻子和嘴會減少傳播流感病毒的機會嗎？,否 ,僅捂嘴,是
133,流行性感冒,巴西針對流感有疫苗嗎？,否,僅對  H1N1,是
134,流行性感冒,孕婦可以接受流感疫苗嗎？,否,是的，第3 月後,是
135,流行性感冒,巴西可能有常年爆發流感的情況嗎？,僅在東南亞區域,否,是
136,流行性感冒,囚犯能接受流感疫苗嗎？,否,> 5 年徒刑,是
137,流行性感冒,非傳染性慢性疾病患者能接受流感疫苗嗎？,否,僅心臟患者,是
138,毛毛蟲,可以引起出血的毛毛蟲在巴西是名字什麼？,巨斑剌蛾,Hylesia,Lonomia 屬
139,毛毛蟲,毛毛蟲中毒是如何發生的？,毒刺,咬傷,與毛接觸
140,毛毛蟲,下列活動引致更高涉及 Lonomia 屬毛毛蟲傷害的風險？,躺在草地上,在草地上跑,爬樹
141,皮膚利什曼病,皮膚利什曼病是什麼？,一種罕見疾病,慢性病,傳染性疾病
142,皮膚利什曼病,典型皮膚利什曼皮膚潰瘍的主要特點是什麼？,痛苦,皮膚痛,無痛皮膚潰瘍
143,皮膚利什曼病,皮膚利什曼病的驗證診斷是什麼？,血清,臨床,寄生蟲學
144,皮膚利什曼病,皮膚利什曼病通常傳播的的領域有哪些？,城區,沿海地區,森林和農村
145,皮膚利什曼病,哪些昆蟲傳播皮膚利什曼病？,埃及伊蚊,蜱蟲,沙蠅
146,皮膚利什曼病,皮膚利什曼病介質在哪裡滋生？,靜水,黑荊樹房子,潮濕環境
147,皮膚利什曼病,下列哪一項不是曼病的預防措施？,保持院子清潔,使用噴霧殺蟲劑,消除所有靜水來源
148,內臟利什曼病,如何是內臟利什曼病俗稱？,方向按鈕,匐行疹病,黑熱病
149,內臟利什曼病,巴西哪個地區的內臟利什曼病病例最多？,南部地區,北部地方,東北地區
150,內臟利什曼病,未經治療的內臟利什曼病可導致病人死亡嗎？,否,僅老人,是
151,內臟利什曼病,內臟利什曼病的症狀是下列哪項？,失明,脫水,發燒
152,內臟利什曼病,有治療方法可用於內臟利什曼病嗎？,否,僅在私人的醫療保健系統中,是的，在 SUS
153,內臟利什曼病,在 SUS有哪咱檢驗可用于診斷內臟利什曼病？,血液檢驗,超聲檢查,快速檢驗
154,內臟利什曼病,在城市地區，內臟利什曼病的主要宿主是什麼？,雞肉,人類,狗
155,內臟利什曼病,內臟利什曼病與狗之間傳輸的主要形式是什麼？,叮咬,與尿液接觸,昆蟲叮咬
156,內臟利什曼病,下列哪一項是狗的內臟利什曼病的主要臨床體征之一？,攻擊行為,黃皮膚,皮損
157,內臟利什曼病,哪些昆蟲傳播內臟利什曼病給人類？,埃及伊蚊,蜱蟲,沙蠅
158,內臟利什曼病,傳播內臟利什曼病的昆蟲在哪裡滋生？,靜水,黑荊樹房子,潮濕環境
159,瘧疾,巴西哪個地區集中超過 99%的所有瘧疾病例？,東南,東北,北
160,瘧疾,瘧疾是如何傳播的？,由水,由食物,蚊蟲叮咬
161,瘧疾,在下列哪些位置中發現了傳播瘧疾的蚊子幼蟲？,水箱,人孔,湖泊
162,瘧疾,下列哪一項是防止瘧疾蚊子正確的方法？,服用維生素,接受疫苗,使用蚊帳
163,瘧疾,哪種蚊子傳播瘧疾？,母伊蚊,公蚊,雌性疟蚊
164,瘧疾,下列哪項是惡性瘧疾的症狀？,叩頭,出血,高燒 > 41 ° C
165,瘧疾,阻止瘧疾傳播週期的最好方法是什麼？,茶和休息,不可能停止週期,及時診斷
166,瘧疾,瘧疾的最常見症狀是什麼？,呼吸急促,皮膚斑點,高燒
167,瘧疾,可以服用藥物以預防瘧疾嗎？,否,僅導入藥物,是
168,瘧疾,誰可能感染瘧疾？,僅公蚊,僅孩子,任何人
169,瘧疾,最常見瘧疾的跡象和症狀是什麼？,皮膚斑點,關節疼痛,發燒
170,瘧疾,瘧疾可能得多次嗎？,否,是的，兩次,是
171,瘧疾,有瘧疾疫苗嗎？,是,僅用于成年人,否
172,瘧疾,瘧疾如何診斷？,通過唾液,通過腦脊液,通過血液
173,瘧疾,瘧疾會成為一個嚴重的問題嗎？,否,一直嚴重,是
174,瘧疾,瘧疾在巴西的流行地區在哪裡？,東南,東北,北
175,瘧疾,什麼原因導致的瘧疾？,一種病毒,細菌,瘧原蟲
176,瘧疾,我能從別人那裡感染瘧疾嗎？,是的通過擁抱別人,是的，通過親吻,否
177,瘧疾,我應該在哪裡診斷瘧疾？,藥店,鄰居,SUS
178,瘧疾,瘧疾是在哪裡治療的？,在藥店,在鄰居的房子中,在 SUS
179,瘧疾,治療瘧疾要花多少錢？,300 美元,50 美元,在 SUS 免費
180,瘧疾,巴西有瘧疾嗎？,否，僅亞洲,否，僅在非洲,是
181,瘧疾,哪些大洲有瘧疾病例？,美洲和大洋洲,亞洲和大洋洲,美洲和非洲
182,瘧疾,如何避免瘧疾？,蚊蟲叮咬,輸液,受污染的水
183,瘧疾,在巴西最常見類型的瘧疾 （間日瘧原蟲和惡性瘧原蟲）采用相同的治療方式嗎？,是,尚無治療方法,否
184,瘧疾,瘧疾的症狀是發燒嗎？,否,僅輕微發燒,是
185,瘧疾,並傳播登革熱的蚊子也傳播瘧疾？,是,所有疾病,否
186,瘧疾,在哪個器官中，瘧疾寄生蟲在攻擊血紅細胞前進行繁殖？,皮膚,脾,肝臟
187,瘧疾,在哪個時段更容易被傳播瘧疾的蚊子咬？,在白天,下雨時,早上，下午和晚上
188,瘧疾,可以殺死瘧疾嗎？,僅後遺症,否,是
189,瘧疾,受感染的懷孕婦女能服用瘧疾藥物嗎？,是,這取決於具體的病例,否
190,瘧疾,可以用茶和草藥治療瘧疾嗎？,是,僅使用馬黛茶,否
191,瘧疾,當服用瘧疾藥物時是否要避免任何特定種類的食物？,辛辣食物,高脂肪食物,否
192,瘧疾,瘧疾寄生蟲整個生命週期的宿主有哪些？,僅人類,無,蚊子和人類
193,瘧疾,全球人口的近似百分之多少被暴露在瘧疾感染的風險中？,0%,10%,50%
194,瘧疾,蚊子叮咬後多長時間病人開始顯示瘧疾的症狀？,1 至 3 天,30 天,10 至 15 天
195,瘧疾,任何蚊子都可以傳播瘧疾嗎？,是,否，僅伊蚊,不是，僅蚊子
196,瘧疾,瘧疾是如何傳播的？,通過擁抱別人,通過親吻,蚊蟲叮咬
197,瘧疾,如何避免瘧疾？,吃水果,喝茶,避免蚊子
198,瘧疾,有治療瘧疾的方法嗎？,在某些情況下,否,是
199,瘧疾,到哪兒能獲得瘧疾疫苗？,在私人醫院,在藥店,尚無疫苗
200,瘧疾,是有專用驅蟲器防止瘧疾蚊子嗎？,是,是的，進口驅蟲劑,否
201,瘧疾,瘧疾蚊子與登革熱蚊子的繁殖類似嗎？,是,它不繁殖,否
202,瘧疾,哪種瘧蚊傳播瘧疾，公蚊還是母蚊？,兩者,僅雄性,僅雌 
203,瘧疾,如果孕婦感染了瘧疾，寶寶有風險嗎？,僅媽媽處於危險之中,否,是
204,瘧疾,瘧疾對於哪個年齡群體可能更危險？,青少年,成人,老人和兒童
205,瘧疾,建議完成瘧疾治療嗎？,否,否，只是到中途,是
206,藥物,哪類藥物用於治療細菌感染？,止吐藥,抗病毒藥物,抗生素
207,藥物,哪類藥物用於治療疼痛？,抗酸劑,抗腫瘤藥物,止痛藥
208,藥物,哪類藥物用於治療癌症？,抗潰瘍藥物,解痙藥物,抗腫瘤藥物
209,藥物,哪裡可以找到關於特定藥物最重要的資訊？,醫療處方,套裝,資訊傳單
210,藥物,任何用於治療或緩解疾病症狀的治療被稱為 ︰,安慰劑,疫苗,醫學
211,藥物,直接從植物提取物獲得的藥物被稱為 ︰,輸液或茶,順勢療法,中藥
212,腦膜炎,下列哪一項是腦膜炎的症狀和體征？,嘔吐,咳嗽,頸部僵硬
213,腦膜炎,哪些疾病會引起腦膜炎？,中風,血栓形成,腦膜炎
214,腦膜炎,哪種微生物會引起最嚴重的腦膜炎？,一種病毒,真菌,細菌
215,小頭畸形,小頭畸形是什麼？,細菌,一種病毒,出生缺陷
216,盤尾絲蟲病,哪種蚊子傳播盤尾絲蟲病？,埃及伊蚊,淡色庫蚊,蚋属
217,盤尾絲蟲病,盤尾絲蟲病也俗稱什么？,蝸牛疾病,蜱蟲病,河盲症
218,盤尾絲蟲病,巴西的哪個州有盤尾絲蟲病例？,Santa Catarina 和 Rio Grande do Sul,戈阿斯州和馬托格羅索州,亞馬孫和羅賴馬
219,其他有毒的動物,如發生涉及分泌毒液的動物傷害，應采取什么合理措施？,奔跑和跳躍,喝茶,尋求醫療援助
220,其他有毒的動物,下列這些動物被認為有毒？,大鼠,吸血蝙蝠,巴西流浪蜘蛛
221,其他有毒的動物,下列這些動物被認為有毒？,狗,河豚魚,蠍子
222,其他有毒的動物,下列這些動物被認為有毒？,壁虎,箭魚,矛頭蝮蛇
223,其他有毒的動物,下列這些動物被認為有毒？,蛇蜥,假蝎,蜈蚣
224,其他有毒的動物,下列這些動物被認為有毒？,盲蛇,鯊魚,水母
225,小兒麻痹症,哪種微生物導致小兒麻痹症？,細菌,真菌,一種病毒
226,小兒麻痹症,小兒麻痹症是如何廣為人知的？,臀部,重度咳嗽,小兒麻痹
227,小兒麻痹症,一般小兒麻痹症的潛伏期是多久？,1 到 6 天,5 至 15 天,7 至 12 天
228,小兒麻痹症,脊髓灰質炎的主要預防措施是什麼？,抗生素治療,使用避孕套,疫苗接種
229,小兒麻痹症,15 歲以下兒童的急性弛緩性麻痹症狀預示哪些疾病？,破傷風,百日咳,小兒麻痹症
230,狂犬病,誰會傳播狂犬病？,蚊子,鳥類,哺乳動物
231,狂犬病,下列哪一項會傳播狂犬病？,兔和倉鼠,雞和鴨,貓和狗
232,狂犬病,狂犬病傳播方法是下列哪一項？,接觸垃圾,蚊蟲叮咬,叮咬
233,狂犬病,人類的狂犬病症狀是下列哪一項？,紅斑,腹瀉,肌肉痙攣
234,狂犬病,動物（狗或貓）狂犬病的主要症狀和體征 是什麼？,晃動的尾巴,溫柔的行為,不吃
235,狂犬病,如何預防狂犬病？,從未離開房子,避免垃圾填埋場,貓和狗接種
236,狂犬病,存在人類感染狂犬病的治療方法嗎？,是,有時,尚無治療方法，且是一種致命疾病 ！
237,清潔產品,用來清潔無生命表面的產品有 ︰,化妝品,抗氧化劑,清潔產品
238,清潔產品,意外攝入或吸入清潔產品後，您必須時刻 ︰,催吐,喝水,閱讀標籤
239,麻疹,麻疹是一種傳染病，致病源是︰,細菌,原生動物,一種病毒
240,麻疹,麻疹病毒的傳播途徑是 ︰,口食或糞便,埃及伊蚊,氣道
241,麻疹,下列哪一項是麻疹的典型症狀？,結膜炎,頭痛,紅斑
242,麻疹,近似麻疹孵育期是什麼？,5 天,3 天,10 天
243,麻疹,什麼預防麻疹最有效的方法？,使用  PPE,隔離,疫苗
244,麻疹,麻疹病例的確診標準是什麼？,活檢,影像診斷,實驗室檢驗
245,麻疹,什麼是通知麻疹疑似病例的理想時期？,最多 48 小時,長達 72 小時,長達 24 小時
246,麻疹,什么是應用采用麻疹阻斷疫苗的理想時期？,最多 1 個月 ,長達 96 小時,長達 72 小時
247,麻疹,不推薦將三價和四價病毒疫苗用於哪些人群？,老人,1 歲以下的兒童,孕婦  
248,職業健康和 SUS,醫療保健的權利是 ︰,法律未規定,無需,法律規定
249,職業健康和 SUS,是什麼 Sistema Único de Saúde [統一醫療系統]的縮寫？,SISU,SINAN,SUS
250,職業健康和 SUS,SUS 系統提供醫療給 ︰,工人,有保險的人,所有這些 
251,職業健康和 SUS,使用安全帶需要的高度至少 ︰,1 米,3 米,2 米 
252,職業健康和 SUS,易燃液體引起火災時必須使用下列哪一項？,水,CO2,泡沫 
253,職業健康和 SUS,最小和最大噪音容忍極限是什麼？,85 至 110,80 到 115,85 到 115 
254,蛇,涉及蛇傷害後必須立即做什麼？,使用止血帶,塗抹外用酒精,尋求 SUS 的援助
255,蛇,以下哪些毒蛇引起了巴西發生的大部分傷害？,響尾蛇,珊瑚,蝮蛇
256,蛇,下列哪些蛇有毒？,安納康達,蟒蛇,蝮蛇
257,蛇,碰到一條蛇後我應該做什麼？,試圖抓住它,與它拍照,與主管部門聯繫
258,蛇,"哪種毒蛇咬傷會導致俗稱為""醉酒的臉""的臨床狀況？",毒蛇和響尾蛇,蟒蛇和響尾蛇,響尾蛇和珊瑚
259,破傷風,哪種疫苗建議用以防止成人破傷風？,三價病毒疫苗,VIP,成人雙接種
260,破傷風,哪種疫苗建議用于孕婦預防新生兒破傷風？,卡介苗,三價病毒疫苗,成人雙接種
261,破傷風,破傷風細菌是哪裡找到的？,僅在指甲中,僅在地上,幾個不同的環境
262,破傷風,您如何知道是否感染破傷風？,假膜,頻繁咳嗽 ,肌肉僵硬
263,破傷風,哪種微生物會引起破傷風？,一種病毒,真菌,細菌
264,破傷風 ,破傷風的病原體是什麼？, 肠道沙门氏菌,百日咳桿菌,破傷風梭菌檢查
265,沙眼,什麼會導致沙眼？,一種病毒,原生動物,細菌
266,沙眼,沙眼是一種疾病，會影響 ︰,外周神經,消化道,眼睛
267,沙眼,沙眼是如何治療的？,止痛藥,防過敏,抗生素
268,結核病,結核病是什麼？,病毒性疾病,真菌感染疾病,細菌性疾病
269,結核病,哪種細菌會導致肺結核？,梅毒螺旋體,百日咳桿菌,科赫的芽孢桿菌
270,結核病,哪種疫苗可以防止最嚴重形式的肺結核？,流感,風疹,卡介苗
271,結核病,結核病是如何傳播的？,性交,親吻和擁抱,咳嗽或打噴嚏
272,結核病,哪些器官最常受到肺結核影響？,肝臟,心臟,肺
273,結核病,除了肺，其他哪些器官也可能受結核病影響？,僅腸,僅骨頭,所有這些
274,結核病,得肺結核的任何人都可以潛在地傳播這種疾病嗎？,是,僅吸煙者,否
275,結核病,下列哪項是常見的肺結核症狀？,腹瀉,昏厥,咳嗽
276,結核病,咳嗽多長時間後，我應該懷疑結核感染？ ,1 周,2 周,3 個星期
277,結核病,在疑似肺結核的情況下，必須尋求哪些醫療服務？ ,特別服務,急救室,UBS
278,結核病,治療結核病需要多長時間？,2 個月,4 個月,至少 6 個月
279,結核病,診斷肺結核要進行什么檢驗？,血液檢驗,尿液檢驗,痰液檢驗
280,結核病,治療結核病要花多少錢？,R$ 20.00,R$ 300.00,在 SUS 免費
281,結核病,應避免什麼以防止肺結核？,擁抱,親吻,封閉的室內環境
282,結核病,誰會提供結核病治療藥物？,私人醫療系統,WHO,SUS
