ID;TOPIC;QUESTION;ALTERNATIVE A;ALTERNATIVE B;ALTERNATIVE C
21;CONTAMINATED AIR;Which of these devices contain CFC gases?;Cell phones;Household appliances;Refrigerators
22;CONTAMINATED AIR;Which of these vehicle-related measures help control air quality?;Defensive driving;Using different fuels;Use of catalytic converters
23;CONTAMINATED AIR;What are the main pollutants generated in power plants that burn coal or oil?;Ozone;Nitrogen;Sulphur dioxide
24;SPIDER;Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?Which of these spiders is not the main cause of severe spider accidents in Brazil?;Brown;Brazilian wandering spider;Tarantula
25;SPIDER;Which Brazilian region has the highest concentration of spider incidents?;Southeast;Northeast;South
26;SPIDER;Which of these spiders has a nearly undetectable bite?;Tarantula;Brazilian wandering spider;Brown
27;SPIDER;What can be done to help ease the pain caused by spider bites?;Squeeze the spot;Suck the spot;Apply a warm compress
28;WHOOPING COUGH;Which disease is characterized by severe coughing?;Measles;Meningitis;Whooping cough
29;WHOOPING COUGH;High-pitch whoop, violent cough, and vomiting are symptoms of which disease?;Influenza;Tuberculosis;Whooping cough
30;WHOOPING COUGH;Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?Which bacteria cause the whooping cough?;C. tetani;C. diphtheriae;B. pertussis
31;WHOOPING COUGH;Which vaccine protects children under the age of 1 from whooping cough?;BCG ;Trivalent viral vaccine;Pentavalent vaccine
32;WHOOPING COUGH;What is the main prophylactic measure for whooping cough?;Use of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condomsUse of condoms;Antibiotics;Vaccine
33;WHOOPING COUGH;Which antibiotic is recommended to treat whooping cough?;Rifampin;Tamiflu;Azithromycin
34;DENGUE FEVER/ZIKA/CHIK;How often must breeding sites be eliminated? ;Daily;Monthly;Weekly
35;DENGUE FEVER/ZIKA/CHIK;Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? Which of these prophylactic measures do not help protect pregnant women from mosquitos? ;Using mosquito nets;Cleaning the house;Applying oil to skin
36;DENGUE FEVER/ZIKA/CHIK;How is dengue fever transmitted?;Kissing;Hugging;Mosquito bite
37;DENGUE FEVER/ZIKA/CHIK;Do air conditioning units kill the Aedes mosquito?;Only fans;Yes;No
38;DENGUE FEVER/ZIKA/CHIK;Can people with dengue fever take aspirins and other similar medications?;Yes;Only aspirin;No, they cannot
39;DENGUE FEVER/ZIKA/CHIK;At what time of day can people be bitten by the Aedes aegypti mosquito?;Only in the morning;Only at night;Mornings, afternoons, and evenings
40;DENGUE FEVER/ZIKA/CHIK;Can the air conditioner in my office be a breeding site for Aedes aegypti mosquitoes?;No;Only fans;Yes
41;DENGUE FEVER/ZIKA/CHIK;Do all people infected by the Zika virus show symptoms?;Yes;Only children;No
42;DENGUE FEVER/ZIKA/CHIK;How is Zika virus infection prevented?;Taking a bath;Taking vitamins;Using bug sprays
43;DENGUE FEVER/ZIKA/CHIK;What is Zika?;A disease;A mosquito;A virus
44;DENGUE FEVER/ZIKA/CHIK;Which of the following symptoms are defined as yellow flags for pregnant women?;Morning sickness;Nasal congestion;Red spots
45;DENGUE FEVER/ZIKA/CHIK;Which of the following diseases are transmitted by mosquitoes? ;Syphilis;Tuberculosis;Chikungunya
46;DENGUE FEVER/ZIKA/CHIK;Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means)Which of the following is an aggravating sign in people with fever? (Not sure what this means);Coughing;Diarrhea;Bleeding
47;DISASTERS;Who must be called in case of landslides?;SAMU (192);CVV (141);Civil Defense (199)
48;DISASTERS;What is the Fire Department number to call in case of fires?;192;194;193
49;DISASTERS;What must be done if someone is bitten by a venomous animal after a flood? ;Suck the spot;Capture the animal;Go to a hospital
50;DISASTERS;Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?Who should you call if you find venomous animals in your home?;SAMU (192);Civil Defense (199);Fire Department (193)
51;DISASTERS;Which place should you avoid in case of a lightning storm?;A car or a bus;A house or a building;Underneath trees
52;DISASTERS;What can happen to someone who is struck by lightning?;Nothing;Only burns;Burns and death
53;DISASTERS;What should you do in case of heavy rainfall and flooded streets?;Play in the water;Cross the flood;Seek shelter
54;DISASTERS;What should you do if you find an abandoned backpack?;Open it;Take it home;Contact authorities
55;DISASTERS;What should you do if you come across an object with a radioactive symbol?;Touch the object;Take it home;Contact authorities
56;DISASTERS;What should you do if you receive suspicious mail?;Return to sender;Open it;Contact authorities
57;DISASTERS;Who should you call if you see a chemical leak pouring into a street? ;SAMU (192);Civil Police (197);Fire Department (193)
58;DISASTERS;What are the hidden dangers of flood water?;None;Flu;Leptospirosis
59;DIPHTHERIA;How is diphtheria popularly known?;Flaccid paralysis ;Heavy coughing;Croup
60;DIPHTHERIA;What is the general diphtheria incubation period?;5 to 15 days;5 to 10 days;1 to 6 days
61;DIPHTHERIA;For how long can the carrier eliminate the diphtheria bacillus?;1 year;3 months or more;6 months or more
62;DIPHTHERIA;Which vaccine is recommended to prevent diphtheria in adults?;Trivalent viral vaccine;BCG;Dual vaccination for adults
63;DIPHTHERIA;Which therapeutic measure is most effective in the treatment of diphtheria?;Antibiotic therapy;Vaccine;Diphtheria antitoxin
64;DIPHTHERIA;Which is the most effective prophylactic measure for diphtheria?;antibiotic therapy;Use of condoms;Vaccination
65;CHAGAS DISEASE;Which agent causes the Chagas Disease?;Bacteria;A virus;Protozoa
66;CHAGAS DISEASE;Which insect transmits the Chagas Disease?;Wasps;Mosquitoes ;Kissing-bugs
67;CHAGAS DISEASE;In which of the following is Chagas Disease not transmitted?;Blood transfusion;Contaminated food;Contact with others
68;CHAGAS DISEASE;Which kissing bugs can transmit Chagas Disease through their bite?;All of them;Only females;Only the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected onesOnly the infected ones
69;CHAGAS DISEASE;What is the main symptom of the acute phase of the Chagas Disease?;Joint pains;Coughing;Constant fever
70;CHAGAS DISEASE;How is the confirmatory diagnosis of Chagas Disease obtained?;Urine test;Stool exam;Blood test
71;CHAGAS DISEASE;Does the SUS provide any specific treatment for Chagas Disease? ;Yes and it is free;No;Yes, but it is a paid service
72;CHAGAS DISEASE;Which of the following is not a prophylactic measure for Chagas Disease?;Using mosquito nets;Keeping yards clean;Eliminating all sources of still water
73;CHAGAS DISEASE;How should people with fever that lasts for more than 7 days proceed?;Take antibiotics;Take antipyretic;Seek healthcare at SUS
74;STD/AIDS;What should you do after coming into contact with blood or semen potentially contaminated with HIV?;Nothing;Take a bath;Seek healthcare at SUS
75;STD/AIDS;Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?Is it a crime to discriminate against people with HIV/AIDS in Brazil?;No;It depends on the reason;Yes
76;STD/AIDS;Do HIV carriers have to be really sick in order to get treatment?;Yes;There is no treatment;Everyone is entitled to treatment
77;STD/AIDS;Is HIV the same thing as AIDS?;Yes;HIV is the acronym of AIDS;No
78;STD/AIDS;Are condoms the only way to prevent HIV infection?;Yes;No. Only IUDS;No
79;STD/AIDS;Why should patients take HIV treatment medication?;To cure AIDS;To have worse lives;To have better lives
80;STD/AIDS;When should I start taking medication after learning that I have HIV?;When I feel bad;There is no medication;Immediately
81;STD/AIDS;Is there a vaccine or cure for AIDS?;Yes;Only for women;No
82;STD/AIDS; Do people infected with HIV have to take a lot of medication every day?;Yes;No;It depends on the specific case
83;STD/AIDS;Is it true that HIV medication has side effects?;No. This is a myth.;Only in children;Yes
84;STD/AIDS;Which of the following are side effects of the HIV treatment?;Depression;Delirium;Nausea and vomiting
85;STD/AIDS;Is HPV a sexually transmitted disease preventable by vaccine?;Only in children;No;Yes
86;STD/AIDS;Which of the following is not a sexually transmitted disease?;Syphilis;HPV;Dengue fever
87;STD/AIDS;How can we prevent all sexually transmitted infections (STIs)?;Sexual abstinence;Monogamy;Using condoms
88;STD/AIDS;Is it safer to wear two condoms at the same time?;Yes;Yes, up to 3 can be used;No
89;EBOLA;What is Ebola?;Bacteria;A birth defect;A virus
90;SCORPION;Which venomous animal is responsible for the greatest number of incidents in Brazil?;Snake;Spider;Scorpion
91;SCORPION;Where are scorpions commonly found?;Swimming pools and lakes;Trees;Trash cans and manholes
92;SCORPION;What is the main clinical symptom of incidents involving scorpions?;Watery eyes;Swelling;Intense pain
93;SCORPION;In which cases must scorpion victims receive anti-scorpion serum?;All cases;Only severe cases;Moderate and severe cases
94;SCORPION;What can be done to help relieve the pain of a scorpion sting?;Squeeze the spot;Suck the venom ;Apply a warm compress
95;SCHISTOSOMIASIS;How is schistosomiasis transmitted?;Sneezing;Contact with soil;Contact with snails
96;SCHISTOSOMIASIS;How is schistosomiasis diagnosed?;Urine test;Blood test;Stool exam
97;SCHISTOSOMIASIS;By what name is schistosomiasis also commonly known?;Hookworm disease;Seven-day disease;Snail fever
98;SCHISTOSOMIASIS;Schistosomiasis is a _____ disease.;Bacterial;Viral;Parasitic
99;SCHISTOSOMIASIS;The agent that causes schistosomiasis is:;Ascaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoidesAscaris lumbricoides;Chlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatisChlamydia tracomatis;Schistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoniSchistosoma mansoni
100;LAB TESTS;Can dehydration cause alterations in blood tests?;No;Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same)Yes (2 of 3 answers are the same);Yes
101;LAB TESTS;Must patients always inform of their use of medication before lab tests?;No;It might be important;Yes
102;LAB TESTS;Where can I get lab tests done?;Only in the private healthcare system;Only in the public healthcare system;In both systems
103;LAB TESTS;What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? What can I do to prevent purple spots on my arm after drawing blood? ;Shake the arm;Wait until it goes away;Apply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spotApply a compress to the spot
104;YELLOW FEVER;Yellow Fever is transmitted by:;Bat bite;Contaminated food;Mosquito bite
105;YELLOW FEVER;Which mosquito species transmits Jungle Yellow Fever?;Aedes;AnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnopheles;HaemagogusHaemagogusHaemagogusHaemagogusHaemagogusHaemagogusHaemagogusHaemagogusHaemagogusHaemagogusHaemagogusHaemagogusHaemagogus
106;YELLOW FEVER;Which of the following are classic Yellow Fever symptoms?;Joint pains;Headache;Yellow skin
107;YELLOW FEVER;Which if the following is not a prophylactic measure for Yellow Fever?;Vaccine;Bug spray;Sunscreen
108;YELLOW FEVER;Which if the following is not an activity of risk for Yellow Fever?;Camping;Fishing;Night walks
109;YELLOW FEVER;What is the treatment available for Yellow Fever?;Antibiotics;Anti-inflammatories;There is no treatment
110;YELLOW FEVER;In addition to dengue fever, Zika, and chikungunya, which other disease can the Aedes aegypti mosquito transmit?;O’nyong’nyong;Filariasis;Yellow Fever
111;YELLOW FEVER;Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?Which of the following do not represent one of the potential Yellow Fever transmission envrionments?;Urban;Jungle;Aquatic
112;YELLOW FEVER;What other animal can carry Yellow Fever, besides humans?;Birds;Dogs;Monkeys
113;YELLOW FEVER;Yellow Fever is caused by a;Bacteria;Protozoa;Virus
114;YELLOW FEVER;Which disease shares similar symptoms with Yellow Fever?;Chagas Disease;Leishmaniasis;Dengue fever
115;YELLOW FEVER;The most important Yellow Fever prophylactic measure is:;Washing the face;Washing the hands;Vaccination
116;ROCKY MOUNTAIN SPOTTED FEVER;What is the vector of Rocky Mountain Spotted Fever?;Mosquito;Capybara;Tick
117;ROCKY MOUNTAIN SPOTTED FEVER;Which of the following is a tick host of clinical relevance for Rocky Mountain Spotted Fever?;Snake;Cougar;Capybara
118;ROCKY MOUNTAIN SPOTTED FEVER;In which environment can Rocky Mountain Spotted Fever be contracted?;Garbage deposit areas;Areas with mosquitoes;Areas with ticks
119;ROCKY MOUNTAIN SPOTTED FEVER;Which of the following is a symptom of Rocky Mountain Spotted Fever?;Diarrhea;Vomiting;Fever
120;ROCKY MOUNTAIN SPOTTED FEVER;What should you do if you experience Rocky Mountain Spotted Fever symptoms?;Wait it out;Drink liquids;Seek medical assistance
121;ROCKY MOUNTAIN SPOTTED FEVER;Which Rocky Mountain Spotted Fever prophylactic measures can be used at home?;Eliminate all sources of still water;Clean the toilets;Keeping yards clean
122;LYMPHATIC FILARIASIS;Which Culex mosquito transmits lymphatic filariasis?;AnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnophelesAnopheles;Aedes aegyptiAedes aegyptiAedes aegyptiAedes aegyptiAedes aegyptiAedes aegyptiAedes aegyptiAedes aegyptiAedes aegyptiAedes aegyptiAedes aegyptiAedes aegypti;Culex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatusCulex quinquefasciatus
123;LYMPHATIC FILARIASIS;One of the complications of lymphatic filariasis is:;Gastrointestinal bleeding;Blindness;Elephantiasis
124;LYMPHATIC FILARIASIS;Lymphatic filariasis is a ________ infection?;Viral;Bacterial;Parasitic
125;LEPROSY;What is leprosy?;A virus;A protozoa;A disease
126;LEPROSY;Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?Must people with leprosy use separate drinking glasses, cutlery, and disches?;Yes;Only dishes;No
127;LEPROSY;How is leprosy transmitted?;Shaking hands;Sexual intercourse;Contact with infected individuals
128;INFLUENZA;What is the most important symptom of Influenza?;Vomiting;Muscle pain;High fever
129;INFLUENZA;Which disease is commonly mistaken for Influenza?;Sinusitis;Esophagitis;Cold
130;INFLUENZA;Does frequently washing and sanitizing hands prevent Influenza infection?;No;Only after meals;Yes
131;INFLUENZA;Does it help to avoid close contact with people showing signs or symptoms of Influenza?;No;Only at distances of at least 1 m;Yes
132;INFLUENZA;Does covering the nose and mouth when sneezing or coughing reduce the chance of transmitting Influenza?;No ;Only covering the mouth;Yes
133;INFLUENZA;Does Brazil have a vaccine for Influenza?;No;Only for H1N1;Yes
134;INFLUENZA;Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?Can pregnant women get Influenza vaccines?;No;Yes, after the 3rd monthYes, after the 3rd monthYes, after the 3rd monthYes, after the 3rd monthYes, after the 3rd monthYes, after the 3rd monthYes, after the 3rd monthYes, after the 3rd monthYes, after the 3rd monthYes, after the 3rd monthYes, after the 3rd month;Yes
135;INFLUENZA;Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?Is it possible to have a year-round Influenza outbreak in Brazil?;Only in the Southeast region;No;Yes
136;INFLUENZA;Do prisoners receive Influenza vaccines?;No;> 5 years of imprisonment;Yes
137;INFLUENZA;Can patients with non-transmissible chronic diseases take Influenza vaccines?;No;Only cardiac patients;Yes
