ID,TEMA,PREGUNTA,ALTERNATIVA A,ALTERNATIVA B,ALTERNATIVA C
52,DESASTRES,"Si una persona es alcanzada por un rayo, ¿qué puede suceder?",Nada,Solamente quemaduras,Quemaduras y muerte
53,DESASTRES,"En una situación de lluvia fuerte, donde las calles se inundan, ¿qué hacer?",Jugar en el agua,Atravesar la inundación,Buscar abrigo
54,DESASTRES,"Si usted encuentra una mochila abandonada, ¿qué debe hacer?",Abrir,Llevar a casa,Accionar a las autoridades
55,DESASTRES,"Al depararse con un objeto que tenga el símbolo radioactivo, ¿qué hacer?",Manipular el objeto,Llevar a casa,Accionar a las autoridades
56,DESASTRES,¿Qué debe hacer en caso de que reciba alguna correspondencia sospechosa?,Devolver,Abrir,Accionar a las autoridades
57,DESASTRES,"Se usted está en la calle y se depara con una fuga de producto químico, ¿a quién accionar? ",SAMU (192),Policía Civil (197),Bomberos (193)
58,DESASTRES,¿Cuáles los peligros que el agua de inundaciones esconde?,Ninguno,Gripe,Leptospirosis
59,DIFTERIA,¿Cómo se conoce popularmente a la difteria?,Parálisis flácida ,Tos larga,Laringotraqueobronquitis
60,DIFTERIA,"En general, ¿cuál es el período de incubación para la difteria?",5 a 15 días,5 a 10 días,1 a 6 días
61,DIFTERIA,¿Por cuánto tiempo el portador puede eliminar el bacilo de la difteria?,1 año,3 meses o más,6 meses o más
62,DIFTERIA,¿Qué vacuna se recomienda para prevenir difteria en adultos?,Triple viral,BCG,Doble adulto
63,DIFTERIA,¿Cuál es la medida terapéutica es más eficaz en el tratamiento de la difteria?,Antibioticoterapia,Vacuna,Suero antidiftérico
64,DIFTERIA,¿Cuál es la medida de prevención más eficaz para la difteria?,antibioticoterapia,Uso de preservativos,Vacunación
65,ENFERMEDAD DE CHAGAS,¿Cuál es el agente causante de la Enfermedad de Chagas?,Bacteria,Virus,Protozoario
66,ENFERMEDAD DE CHAGAS,¿Cuál es el insecto transmisor de la Enfermedad de Chagas?,Avispas,Mosquitos ,Chinches
67,ENFERMEDAD DE CHAGAS,¿Cuál de estas formas no transmite la Enfermedad de Chagas?,Transfusión de sangre,Alimento contaminado,Contacto con personas
68,ENFERMEDAD DE CHAGAS,"¿Qué chinches, al picar a las personas, pueden transmitir la Enfermedad de Chagas?",Todos,Solamente las hembras,Sólo los infectados
69,ENFERMEDAD DE CHAGAS,¿Cuál es el principal síntoma de la fase aguda de la Enfermedad de Chagas?,Dolores en las juntas,Tos,Fiebre constante
70,ENFERMEDAD DE CHAGAS,¿Cómo se realiza el diagnóstico de confirmación de la Enfermedad de Chagas?,Análisis de orina,Análisis de heces,Análisis de sangre
71,ENFERMEDAD DE CHAGAS,¿La Enfermedad de Chagas tiene tratamiento específico ofrecido por el SUS? ,Sí. Es gratuito,No,"Sí, pero se paga"
72,ENFERMEDAD DE CHAGAS,¿Cuáles de estas no es una forma de prevenirse contra la Enfermedad de Chagas?,Usar mosquiteros,Limpiar patios,Remover agua estancada
73,ENFERMEDAD DE CHAGAS,"En caso de que una persona tenga fiebre por más de 7 días, ¿qué debe hacer?",Tomar antibiótico,Tomar antipiréticos,Buscar al SUS
74,ETS/SIDA,¿Qué hacer después de tener contacto con sangre o semen que puedan estar contaminados por VIH?,Nada,Tomar baño,Buscar al SUS
75,ETS/SIDA,¿Discriminar a las personas que viven con VIH/sida es un crimen previsto en ley en Brasil?,No,Depende del motivo,Sí
76,ETS/SIDA,¿Quién tiene VIH necesita estar muy enfermo para tener derecho al tratamiento del SUS?,Sí,No tiene tratamiento,Todos tienen derecho
77,ETS/SIDA,¿VIH es la misma cosa que SIDA?,Sí,VIH es sigla de sida,No
78,ETS/SIDA,¿El condón es la única forma de prevención de VIH?,Sí,No. Solamente DIU,No
79,ETS/SIDA,¿Por qué tomar los medicamentos para tratar el VIH?,Para curar el sida,Para vivir peor,Para vivir mejor
80,ETS/SIDA,"Si descubro que tengo VIH, ¿cuándo debo comenzar a tomar mis medicinas?",Cuando me sienta mal,No tiene medicina,Inmediatamente
81,ETS/SIDA,¿Existe vacuna o cura para el SIDA?,Sí,Sólo para mujeres,No
82,ETS/SIDA, ¿Quién tiene VIH toma muchas medicinas todos los días?,Sí,No,Depende del caso
83,ETS/SIDA,¿Es verdad que los medicamentos para el VIH causan efectos colaterales?,No. Esto es un mito,Sólo en niños,Sí
84,ETS/SIDA,¿Cuáles de estos son efectos colaterales del tratamiento de VIH?,Depresión,Delirio,Mareos y vómitos
85,ETS/SIDA,¿HPV es una infección sexualmente transmisible que puede ser evitada con vacuna?,Sólo en niños,No,Sí
86,ETS/SIDA,¿Cuál de estas opciones no es una enfermedad sexualmente transmisible?,Sífilis,HPV,Dengue
87,ETS/SIDA,¿Cómo prevenirse de todas las infecciones sexualmente transmisibles (IST)?,Abstinencia sexual,Fidelidad,Usando condón
88,ETS/SIDA,¿Es más seguro usar dos condones al mismo tiempo?,Sí,"Sí, como máximo 3",No
89,ÉBOLA,¿Qué es el ébola?,Bacteria,Malformación fetal,Virus
90,ESCORPIÓN,¿Qué animal ponzoñoso causa el mayor número de accidentes en Brasil?,Serpiente,Araña,Escorpión
91,ESCORPIÓN,¿En qué lugares es común la presencia de escorpiones?,Piscinas y lagos,En árboles,Basureros y drenaje
92,ESCORPIÓN,¿Cuál es el principal síntoma clínico presentado en accidentes por escorpiones?,Lagrimeo,Hinchazón,Dolor intenso
93,ESCORPIÓN,¿En qué casos una víctima de accidente por escorpión debe recibir suero anti-escorpiónico?,En todos,Solamente en graves,Moderados y graves
94,ESCORPIÓN,¿Qué puede ser hecho para ayudar a aliviar el dolor después de la picadura de escorpión?,Exprimir el lugar,Succión del veneno ,Compresa tibia
95,ESQUISTOSOMIASIS,¿Cómo se transmite la esquistosomiasis?,Por el estornudo,Contacto con el suelo,Contacto con caracol
96,ESQUISTOSOMIASIS,¿Cómo es el diagnóstico de la esquistosomiasis?,Análisis de orina,Análisis de sangre,Análisis de heces
97,ESQUISTOSOMIASIS,¿Cómo se conoce también a la esquistosomiasis?,Coloración amarillenta,Mal de siete días,Barriga de agua
98,ESQUISTOSOMIASIS,La esquistosomiasis es una enfermedad:,Bacteriana,Viral,Parasitaria
99,ESQUISTOSOMIASIS,El agente causante de la esquistosomiasis es:,Ascaris lumbricoides,Clamydia tracomatis,Schistosoma mansoni
100,PRUEBAS DE LABORATORIO,"En casos de deshidratación, ¿puede haber alteración en los análisis de sangre?",No,Sí,Sí
101,PRUEBAS DE LABORATORIO,"Al realizar análisis de laboratorio, ¿debemos comunicar el uso de medicinas?",No,Tal vez sea importante,Sí
102,PRUEBAS DE LABORATORIO,¿Dónde puedo realizar el análisis de laboratorio?,Solamente red privada,Solamente red pública,En ambas
103,PRUEBAS DE LABORATORIO,¿Qué hacer para el brazo no quede morado después de la recolección de sangre? ,Sacudir el brazo,Esperar desaparecer,Compresa local
104,FIEBRE AMARILLA,La Fiebre Amarilla es transmitida por:,Mordedura de murciélago,Alimento contaminado,Picadura de mosquito
105,FIEBRE AMARILLA,¿La Fiebre Amarilla Silvestre es transmitida por mosquitos de que género?,Aedes,Anopheles,Haemagogus
106,FIEBRE AMARILLA,Cuáles de los siguientes síntomas son clásicos de la Fiebre Amarilla:,Dolor en las articulaciones,Dolor de cabeza,Piel amarillenta
107,FIEBRE AMARILLA,¿Cuál de estas no es una forma de prevenirse contra la Fiebre Amarilla?,Vacuna,Repelente,Protector solar
108,FIEBRE AMARILLA,¿Cuál de estas no es una actividad de riesgo para la Fiebre Amarilla?,Camping,Pesca,Caminata nocturna
109,FIEBRE AMARILLA,¿Cuál es el tratamiento disponible para la Fiebre Amarilla?,Antibióticos,Antiinflamatorios,No existe tratamiento
110,FIEBRE AMARILLA,"Además del dengue, Zika y chikungunya, ¿qué otra enfermedad puede transmitir el Aedes aegypti?",Nyong-nyong,Filariosis,Fiebre Amarilla
111,FIEBRE AMARILLA,¿Cuál de estos no representa uno de los posibles ciclos de transmisión de la Fiebre Amarilla?,Urbano,Silvestre,Acuático
112,FIEBRE AMARILLA,"Además del hombre, ¿qué animal es huésped de la Fiebre Amarilla?",Ave,Perro,Mono
113,FIEBRE AMARILLA,La Fiebre Amarilla es causada por,Bacteria,Protozoario,Virus
114,FIEBRE AMARILLA,¿Los síntomas de la Fiebre Amarilla se confunden con los de qué enfermedad?,Enfermedad de Chagas,Leishmaniosis,Dengue
115,FIEBRE AMARILLA,La medida más importante de prevención contra la Fiebre Amarilla es:,Lavarse el rostro,Lavarse las maños,Vacunación
116,FIEBRE MACULOSA,¿Cuál es el vector de la fiebre maculosa?,Mosquito,Capibara,Garrapata
117,FIEBRE MACULOSA,¿Cuáles de estos es un huésped de garrapatas de importancia médica para fiebre maculosa?,Cobra,Jaguar,Capibara
118,FIEBRE MACULOSA,¿Cuáles son los ambientes de infección para la fiebre maculosa?,Áreas con basura,Áreas con mosquitos,Áreas con garrapatas
119,FIEBRE MACULOSA,¿Cuáles de estos es un síntoma de la fiebre maculosa?,Diarrea,Vómito,Fiebre
120,FIEBRE MACULOSA,"En caso de que usted manifieste los síntomas de la fiebre maculosa, ¿qué debe hacer?",Esperar pasar,Tomar líquidos,Buscar médico
121,FIEBRE MACULOSA,¿Cuáles son las medidas de prevención para la fiebre maculosa que usted puede adoptar en su domicilio?,Eliminar agua estancada,Lavar baños,Limpiar patios
122,FILARIASIS LINFÁTICA,¿Cuál es el mosquito Culex que transmite la filariasis linfática?,Anopheles,Aedes Aegypti,Culex quinquefasciatus
123,FILARIASIS LINFÁTICA,Es una complicación de la filariasis linfática:,Sangrado gastrointestinal,Ceguera,Elefantiasis
124,FILARIASIS LINFÁTICA,¿La filariasis linfática es una infección?,Viral,Bacteriana,Parasitaria
125,ENFERMEDAD DE HANSEN,¿Qué es la enfermedad de Hansen?,Un virus,Un protozoario,Una enfermedad
126,ENFERMEDAD DE HANSEN,"¿Es necesario separar los vasos, cubiertos y platos del paciente con enfermedad de Hansen?",Sí,Solamente platos,No
127,ENFERMEDAD DE HANSEN,¿Cómo se contrae la enfermedad de Hansen?,Apretón de manos,Relación sexual,Contacto con enfermo
128,INFLUENZA,¿Cuál es el más importante síntoma de la Influenza?,Vómitos,Dolor muscular,Fiebre alta
129,INFLUENZA,¿Cuál es la enfermedad que es muy confundida con la Influenza?,Sinusitis,Esofagitis,Resfriado
130,INFLUENZA,"¿El lavado y desinfección frecuentes de las manos, previenen la Influenza?",No,Sólo después de los alimentos,Sí
131,INFLUENZA,¿Evitar contacto cercano con personas que presenten señales o síntomas de Influenza ayuda?,No,A partir de 1m,Sí
132,INFLUENZA,"Cubrir nariz y boca cuando se estornuda o tose, ¿reduce la transmisión de la Influenza?",No ,Cubrir sólo la boca,Sí
133,INFLUENZA,¿Brasil posee vacuna para la Influenza?,No,Sólo para H1N1,Sí
134,INFLUENZA,¿La gestante puede recibir la vacuna de la Influenza?,No,"Sí, después de 3º mes",Sí
135,INFLUENZA,¿En Brasil puede haber circulación de Influenza todo el año?,Sólo en el sudeste,No,Sí
136,INFLUENZA,¿La población privada de libertad recibe la vacuna de Influenza?,No,> 5 años de reclusión,Sí
137,INFLUENZA,¿Los portadores de enfermedades crónicas no transmisibles pueden recibir la vacuna de la Influenza?,No,Sólo cardiópatas,Sí
138,ORUGA,¿Cuál es nombre de la oruga encontrada en Brasil cuyo accidente causa hemorragia?,Automeris,Hylesia,Lonomia
139,ORUGA,¿Cómo sucede el envenenamiento por oruga?,Por la picadura,Por mordida,Contacto con cerdas
140,ORUGA,¿Cuál de estas actividades lleva a riesgos mayores de accidentes por orugas del género Lonomia?,Acostarse en el césped,Correr en el césped,Subir a árboles
141,LEISHMANIOSIS TEGUMENTARIA,¿Qué es la leishmaniosis tegumentar?,Enfermedad rara,Enfermedad crónica,Enfermedad infecciosa
142,LEISHMANIOSIS TEGUMENTARIA,¿Cómo se caracteriza la úlcera típica de la leishmaniosis tegumentar cutánea?,Dolorosa,Dolorosa en la piel,Indoloro en la piel
143,LEISHMANIOSIS TEGUMENTARIA,¿Cuál es el diagnóstico de confirmación de la leishmaniosis tegumentar?,Serológico,Clínico,Parasitológico
144,LEISHMANIOSIS TEGUMENTARIA,¿En qué áreas normalmente ocurre la transmisión de leishmaniosis tegumentar?,Urbanizada,Costera,Silvestre y rural
145,LEISHMANIOSIS TEGUMENTARIA,¿Cuáles de estos insectos transmite la leishmaniosis tegumentar?,Aedes aegypti,Chinches,Mosquito pólvora
146,LEISHMANIOSIS TEGUMENTARIA,¿Dónde se desarrolla el vector de la leishmaniosis tegumentar?,Agua estancada,Casas bahareque,Lugares húmedos
147,LEISHMANIOSIS TEGUMENTARIA,¿Cuáles de estas no es una forma de prevenirse de las leishmaniosis?,Mantener el patio limpio,Usar repelentes,Remover agua estancada
148,LEISHMANIOSIS VISCERAL,¿Cómo se conoce popularmente a la leishmaniosis visceral?,Botón del Oriente,Bicho geográfico,Leishmaniosis
149,LEISHMANIOSIS VISCERAL,"En Brasil, ¿en qué Región suceden la mayor parte de los casos de leishmaniosis visceral?",Región Sur,Región Norte,Región Nordeste
150,LEISHMANIOSIS VISCERAL,¿Si no se trata la leishmaniosis visceral puede evolucionar hasta provocar fallecimiento?,No,Sólo en personas de edad avanzada,Sí
151,LEISHMANIOSIS VISCERAL,¿Cuál de estos es síntomas de la leishmaniosis visceral?,Ceguera,Deshidratación,Fiebre
152,LEISHMANIOSIS VISCERAL,¿Existe tratamiento para la leishmaniosis visceral?,No,Sólo en la red privada,"Sí, en el SUS"
153,LEISHMANIOSIS VISCERAL,¿Qué prueba está disponible en el SUS para el diagnóstico de la leishmaniosis visceral?,Análisis de sangre,Ultrasonografía,Prueba rápida
154,LEISHMANIOSIS VISCERAL,¿Cuál es el principal reservatorio de leishmaniosis en el área urbana?,Gallina,Ser Humano,Perro
155,LEISHMANIOSIS VISCERAL,¿Cuál es la principal forma de transmisión de la leishmaniosis visceral entre los canes?,Mordedura,Contacto con la orina,Picadura de insectos
156,LEISHMANIOSIS VISCERAL,¿Cuál de estos es uno de las principales señales clínicas de la leishmaniosis visceral en los canes?,Agresividad,Piel amarillenta,Lesiones en la piel
157,LEISHMANIOSIS VISCERAL,¿Cuáles de estos insectos transmite la leishmaniosis visceral al hombre?,Aedes aegypti,Chinches,Mosquito pólvora
158,LEISHMANIOSIS VISCERAL,¿Dónde se desarrolla el insecto que transmite la leishmaniosis visceral?,Agua estancada,Casas bahareque,Lugares húmedos
159,MALARIA,¿En qué región del Brasil están concentrados más del 99% de los casos de malaria?,Sudeste,Nordeste,Norte
160,MALARIA,¿Cómo se transmite la malaria?,Mediante el agua,Por alimentos,Picadura de mosquito
161,MALARIA,¿En cuál de estos lugares se encuentran las larvas del mosquito que transmite la malaria?,En cajas de agua,En desagüe,En lagos
162,MALARIA,¿Cuál de estas es la manera adecuada de protegerse contra el mosquito de la malaria?,Tomando vitaminas,Tomar la vacuna,Usar mosquiteros
163,MALARIA,¿Cuál es el mosquito que transmite la malaria?,Hembra del Aedes,Macho del Anopheles,Hembra del Anopheles
164,MALARIA,"De entre las alternativas, ¿cuáles de estos síntomas son de malaria grave?:",Postración,Sangrados,Fiebre alta >41°C
165,MALARIA,¿Cuáles son los medios más adecuados para interrumpir el ciclo de transmisión de la malaria?,Té y reposo,Es imposible,Diagnóstico oportuno
166,MALARIA,¿Cuál es el síntoma más común de la malaria?,Falta de aire,Manchas en la piel,Fiebre alta
167,MALARIA,¿Es posible tomar medicinas para evitar malaria?,No,Sólo importados,Sí
168,MALARIA,¿Quién puede contraer malaria?,Solamente hombres,Solamente niños,Cualquier persona
169,MALARIA,¿Cuáles son las señales y los síntomas más comunes de la malaria?,Manchas en la piel,Dolor en las articulaciones,Fiebre
170,MALARIA,¿Puedo tener malaria más de una vez?,No,"Sí, dos veces",Sí
171,MALARIA,¿Existe vacuna para la malaria?,Sí,Sólo para adultos,No
172,MALARIA,¿Cómo se realiza el diagnóstico de la malaria?,Mediante la saliva,Licor,Por la sangre
173,MALARIA,¿La malaria puede ser grave?,No,Siempre es grave,Sí
174,MALARIA,¿Dónde está la región de malaria endémica en Brasil?,Sudeste,Nordeste,Norte
175,MALARIA,¿Qué causa la malaria?,Virus,Bacteria,Plasmodium
176,MALARIA,¿Puedo contraer malaria de otra persona?,"Sí, abrazando","Sí, besando",No
177,MALARIA,¿A dónde debo ir para realizar el diagnóstico de malaria?,Farmacia,Vecino,SUS
178,MALARIA,¿Dónde se trata malaria?,En la farmacia,En el vecino,En el SUS
179,MALARIA,¿Cuánto cuesta tratar la malaria?,300 reales,50 reales,Gratuito en el SUS
180,MALARIA,¿Existe malaria en Brasil?,"No, sólo en Asia","No, sólo en África",Sí
181,MALARIA,¿Cuáles de estos continentes poseen casos de malaria?,América y Oceanía,Asia y Oceanía,América y África
182,MALARIA,¿Cómo no se contrae la malaria?,Picadura de mosquito,Transfusión,Agua contaminada
183,MALARIA,¿El tratamiento es un sólo para los tipos de malaria más comunes en Brasil (vivax y falciparum)?,Sí,No tiene tratamiento,No
184,MALARIA,¿La fiebre es un síntoma de la malaria?,No,Solamente fiebre baja,Sí
185,MALARIA,¿El mosquito que transmite dengue también transmite malaria?,Sí,Todas las enfermedades,No
186,MALARIA,¿En qué órgano se reproduce el parásito de la malaria antes de atacar a los glóbulos rojos?,Piel,Bazo,Hígado
187,MALARIA,¿Cuál es el período más probable para la picadura del mosquito que transmite la malaria?,Durante el día,Cuando llueve,"Mañana, tarde y noche"
188,MALARIA,¿La malaria puede matar?,Sólo deja secuelas,No,Sí
189,MALARIA,¿Las gestantes con malaria pueden tomar medicamentos normalmente?,Sí,Depende del caso,No
190,MALARIA,¿Puedo tratar la malaria con té y plantas?,Sí,Solamente con té mate,No
191,MALARIA,¿Debo evitar algún tipo de comida debido a los medicamentos de malaria?,Alimentos picantes,Alimentos grasosos,No
192,MALARIA,¿Quiénes hospedan al parásito de la malaria en su ciclo de vida?,Solamente humano,Ninguno,Mosquito y humano
193,MALARIA,¿Qué porcentaje aproximadamente de la población mundial está bajo riesgo de malaria?,0%,10%,50%
194,MALARIA,¿Cuánto tiempo pasa desde la picadura del mosquito infectado hasta que la persona comienza a tener síntomas de malaria?,1 a 3 días,30 días,10 a 15 días
195,MALARIA,¿Cualquier mosquito transmite malaria?,Sí,"No, sólo el Aedes","No, sólo el Anopheles"
196,MALARIA,¿Cómo se transmite la malaria?,Mediante abrazo,Por beso,Picadura de mosquito
197,MALARIA,¿Qué se puede hacer para evitar la malaria?,Comer frutas,Tomando té,Evitando el mosquito
198,MALARIA,¿La malaria tiene cura?,En algunos casos,No,Sí
199,MALARIA,¿Dónde me puedo vacunar contra la malaria?,En hospital privado,En farmacias,No existe vacuna
200,MALARIA,¿Existe un repelente especial para combatir al mosquito de la malaria?,Sí,"Sí, importados",No
201,MALARIA,¿El mosquito de la malaria se reproduce como el de la dengue?,Sí,No se reproduce,No
202,MALARIA,¿Qué mosquito anopheles transmite la malaria? ¿El macho o la hembra?,Ambos,Sólo el macho,Sólo la hembra 
203,MALARIA,"Si una mujer embarazada contrae malaria, ¿el bebé corre riesgo de vida?",Sólo la madre corre riesgo,No,Sí
204,MALARIA,¿Para qué rango de edades puede ser más peligrosa la malaria?,Adolescentes,Adultos,Personas de edad avanzada y niños
205,MALARIA,¿Es recomendable realizar el tratamiento de la malaria hasta el fin?,No,"No, sólo hasta la mitad",Sí
206,MEDICAMENTOS,¿Cuál es la categoría de los medicamentos usados para tratamiento de infecciones bacterianas?,Antieméticos,Antivirales,Antibióticos
207,MEDICAMENTOS,¿Cuál es la categoría de los medicamentos usados para tratamiento de dolores?,Antiácidos,Antineoplásicos,Analgésicos
208,MEDICAMENTOS,¿Cuál es la categoría de los medicamentos usados para tratamiento del cáncer?,Antiulcerosos,Antiespasmódicos,Antineoplásicos
209,MEDICAMENTOS,¿Dónde se puede encontrar la información más relevante sobre un medicamento?,Prescripción médica,Embalaje primario,Bula
210,MEDICAMENTOS,Cualquier cuidado utilizado para curar o aliviar síntomas de una enfermedad es llamado:,Placebo,Vacuna,Medicina
211,MEDICAMENTOS,Los medicamentos obtenidos directamente del extracto de plantas se llaman:,Infusión o té,Homeopáticos,Fitoterápicos
212,MENINGITIS,¿Cuál de estas señales y síntomas son de meningitis?,Vómito,Tos,Rigidez de nuca
213,MENINGITIS,¿Cuál es la enfermedad que genera inflamación de las meninges?,Derrame Cerebral,Trombosis,Meningitis
214,MENINGITIS,¿El tipo más grave de meningitis es causado por qué microorganismo?,Virus,Hongos,Bacterias
215,MICROCEFALIA,¿Qué es la microcefalia?,Bacteria,Virus,Malformación fetal
216,ONCOCERCOSIS,¿Cuál es el mosquito que transmite la oncocercosis?,Aedes Aegypti,Culex,Simulium
