message_privacy_tip_3 ; Para maiores informações, consulte os Termos de Uso
relationship ; Parentesco
join ; Participe Agora!
join_now ; Participe Agora!
profile ; Perfil
police ; Polícia Militar
police_text ; Polícia Militar
pointing ; Pontuação
safe_sex ; Pratique sexo de forma segura
safe_sex_title ; Pratique sexo de forma segura
message_new_member ; Preencha todos os campos abaixo para adicionar um novo integrante.
message_prepared ; Preparado para se tornar um Guardião da Saúde?
prevention ; Prevenção
prevention_title_01 ; Prevenção
next ; Próximo
message_who_participate ; Quem vai participar?
general_ranking ; Ranking Geral
hint_redefine_password ; Redefinir senha
report ; Relatar Erros
hint_repeat_password ; Repetir Senha
respiratory ; Respiratória
welcome_game_answer ; Responda corretamente as perguntas sobre saúde para revelar peças.
resume ; Resumo
exit ; Sair
save ; Salvar
traveler_health ; Saúde do viajante
message_select_member ; Selecionar Integrante
message_select_join ; Selecione algum dos perfis abaixo para começar a participar.
hint_country_name ; Selecione o país
message_select_profile ; Selecione qual dos perfis abaixo quer editar.
message_select_member ; Selecione um integrante
hint_password_short ; Senha
password_fail ; Senha precisa ter pelo menos 6 caracteres
hint_password ; Senha precisa ter pelo menos 6 caracteres
gender ; Sexo
yes ; Sim
syndromes ; Síndromes
message_user_max ; Só é possível adicionar 10 integrantes!
about ; Sobre
message_privacy_tip_1 ; Sua participação é voluntária e anônima
phone ; Telefones Úteis
useful_phones ; Telefones Úteis
exit_message ; Tem cereza que deseja sair do aplicativo?
term ; Termos e Políticas
tutorial ; Tutorial
hospital ; UPAs
vaccine ; Vacina
vacinne_title_01 ; Vacina
vaccine ; Vacinas
vacinne_title_01 ; Vacinas
message_prevent ; Veja como se prevenir de doenças, quais UPAs e farmácias mais próximas de você e telefones úteis para caso de emergência.
attention ; Atenção
new_user_social_media ; Complete suas informações para efetuar o cadastro
error_add_new_member ; Complete suas informações para efetuar o cadastro
add_member ; Adicionar Integrante do Domicílio
new_password ; Foi enviada uma mensagem para o email, siga as instruções enviadas para recuperar sua senha.
validation_password ; Sua senha precisa ter no mínimo 6 dígitos
frequency ; Frequência
terms_title_01 ; Política de Privacidade e Termos de Uso
message_about_title_01 ; SOBRE O APLICATIVO “GUARDIÕES DA SAÚDE”
terms_title_01 ; POLÍTICA DE PRIVACIDADE E TERMOS DE USO
dob_invalid ; A utilização do aplicativo está permitida somente para indivíduos de 13 (treze) anos de idade ou mais.
tip_health ; DICAS DE SAÚDE
tip_health_1 ; DICAS DE SAÚDE
zika ; DENGUE, ZIKA E CHIKUNGUNYA
zika_tip ; DENGUE, ZIKA E CHIKUNGUNYA
zika_title_01 ; DENGUE, ZIKA E CHIKUNGUNYA
vaccine ; VACINAS
vacinne_title_01 ; VACINAS
care ; CUIDADOS BÁSICOS
care_title_01 ; CUIDADOS BÁSICOS
traveler_health ; SAÚDE DO VIAJANTE:
prevention ; PREVENÇÃO
prevention_title_01 ; PREVENÇÃO
safe_sex ; PRATIQUE SEXO DE FORMA SEGURA
safe_sex_title ; PRATIQUE SEXO DE FORMA SEGURA
congratulations ; Parabéns
